common_stub,incrange,variable,value,src,table_description,column_description,excel_column
2,"$5,000 under $10,000",id_taxpaid,1380137000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Taxes paid deduction,BT
2,"$5,000 under $10,000",nret_id_contributions,266852.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with contributions deduction,CU
2,"$5,000 under $10,000",nret_id_gst,232765.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with general sales tax deduction,BY
2,"$5,000 under $10,000",nret_id_intpaid,213034.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with interest paid deduction,CG
2,"$5,000 under $10,000",nret_id_medical_capped,306402.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, capped",BM
2,"$5,000 under $10,000",nret_id_medical_uncapped,306402.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, uncapped",BO
2,"$5,000 under $10,000",nret_id_mortgage,203835.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with mortgage interest paid (any recipient),CI
2,"$5,000 under $10,000",nret_id_pit,97358.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with income tax deduction,BW
2,"$5,000 under $10,000",nret_id_retax,292441.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with real estate tax deduction,CA
2,"$5,000 under $10,000",nret_id_salt,330123.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with state and local taxes deduction,BU
2,"$5,000 under $10,000",nret_id_taxpaid,392535.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxes paid deduction,BS
3,"$10,000 under $15,000",agi,145001169000.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit,D
3,"$10,000 under $15,000",nret_all,11594637.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns,B
3,"$10,000 under $15,000",nret_txbl,4267204.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income,G
3,"$10,000 under $15,000",agi_hoh,33123142000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, heads of households",AP
3,"$10,000 under $15,000",agi_mfjss,16675086000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, married filing joint and surviving spouses",P
3,"$10,000 under $15,000",agi_mfs,1893925000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, married filing separately",AC
3,"$10,000 under $15,000",agi_single,93309016000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, single",BC
3,"$10,000 under $15,000",exemption,72890985000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Exemption amount,D
3,"$10,000 under $15,000",item_ded,10199342000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Total itemized deductions,F
3,"$10,000 under $15,000",nret_hoh,2613933.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of heads of households,AO
3,"$10,000 under $15,000",nret_item,658059.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with itemized deductions,E
3,"$10,000 under $15,000",nret_mfjss,1320912.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing jointly and returns of surviving spouses,O
3,"$10,000 under $15,000",nret_mfs,151753.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing separately,AB
3,"$10,000 under $15,000",nret_sd,10936578.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with standard deduction,G
3,"$10,000 under $15,000",nret_single,7508038.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of single persons,BB
3,"$10,000 under $15,000",nret_taxac,4267204.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with income tax after credits,K
3,"$10,000 under $15,000",nret_taxtot,4267204.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with total income tax,M
3,"$10,000 under $15,000",nret_ti,5911175.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with taxable income,I
3,"$10,000 under $15,000",sd,87417597000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Standard deduction,H
3,"$10,000 under $15,000",taxac,1391657000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Income tax after credits,L
3,"$10,000 under $15,000",taxtot,1391657000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Total income tax,N
3,"$10,000 under $15,000",ti,17569255000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Taxable income,J
3,"$10,000 under $15,000",amt,457000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Alternative minimum tax,EI
3,"$10,000 under $15,000",busprofnetinc,24922857000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Business or professional net income,U
3,"$10,000 under $15,000",busprofnetloss,-2435240000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Business or professional net loss,W
3,"$10,000 under $15,000",cgdist,209043000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains distributions,Y
3,"$10,000 under $15,000",cggross,1475473000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains gross taxable,AA
3,"$10,000 under $15,000",cgloss,-516537000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital loss taxable,AC
3,"$10,000 under $15,000",estateinc,72556000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Estate and trust income,BI
3,"$10,000 under $15,000",estateloss,-5186000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Estate and trust loss,BK
3,"$10,000 under $15,000",exemptint,347104000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Tax-exempt interest,K
3,"$10,000 under $15,000",iradist,4185806000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income", Individual Retirement Arrangements (IRA) distributions,AI
3,"$10,000 under $15,000",itemded,10199342000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total itemized deductions,EA
3,"$10,000 under $15,000",n_exemptions,18000014.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of exemptions,EB
3,"$10,000 under $15,000",nret_amt,1067.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with alternative minimum tax,EH
3,"$10,000 under $15,000",nret_busprofnetinc,2396027.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with business or professional net income,T
3,"$10,000 under $15,000",nret_busprofnetloss,294830.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with business or professional net loss,V
3,"$10,000 under $15,000",nret_cgdist,150523.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital gain distributions,X
3,"$10,000 under $15,000",nret_cggross,347534.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital gains gross taxable,Z
3,"$10,000 under $15,000",nret_cgloss,234246.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with capital loss taxable,AB
3,"$10,000 under $15,000",nret_estateinc,13779.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with estate and trust income,BH
3,"$10,000 under $15,000",nret_estateloss,4230.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with estate and trust loss,BJ
3,"$10,000 under $15,000",nret_exemptint,109738.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with tax-exempt interest,J
3,"$10,000 under $15,000",nret_iradist,700006.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with IRA distributions,AH
3,"$10,000 under $15,000",nret_orddiv,875416.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with ordinary dividends,L
3,"$10,000 under $15,000",nret_partnerscorpinc,115968.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net income,BD
3,"$10,000 under $15,000",nret_partnerscorploss,59219.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with partnership or S corporation net loss,BF
3,"$10,000 under $15,000",nret_pensions,1573498.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total pensions and annuities (including nontaxable),AJ
3,"$10,000 under $15,000",nret_pensions_taxable,1519745.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable pensions and annuities,AL
3,"$10,000 under $15,000",nret_qualdiv,793549.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with qualified dividends,N
3,"$10,000 under $15,000",nret_rentroyinc,267149.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total rental and royalty income,AZ
3,"$10,000 under $15,000",nret_rentroyloss,110233.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total rental and royalty loss,BB
3,"$10,000 under $15,000",nret_socsectaxable,185390.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable Social Security benefits,BT
3,"$10,000 under $15,000",nret_socsectot,2201549.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with total Social Security benefits,BR
3,"$10,000 under $15,000",nret_taxbc,5861260.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income","Number of returns with income tax before credits (IRS definition, not PUF definition)",EL
3,"$10,000 under $15,000",nret_taxint,1452616.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxable interest,H
3,"$10,000 under $15,000",nret_wages,8640300.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Number of returns with salaries and wages,F
3,"$10,000 under $15,000",orddiv,1834544000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Ordinary dividends,M
3,"$10,000 under $15,000",partnerscorpinc,1042515000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net income,BE
3,"$10,000 under $15,000",partnerscorploss,-737049000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Partnership or S corporation net loss,BG
3,"$10,000 under $15,000",pensions,18171930000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total pensions and annuities (including nontaxable),AK
3,"$10,000 under $15,000",pensions_taxable,13286828000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable pensions and annuities,AM
3,"$10,000 under $15,000",qualdiv,1224706000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Qualified dividends,O
3,"$10,000 under $15,000",rentroyinc,1446142000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total rental and royalty income,BA
3,"$10,000 under $15,000",rentroyloss,-804907000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total rental and royalty income loss,BC
3,"$10,000 under $15,000",socsectaxable,323074000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable Social Security benefits,BU
3,"$10,000 under $15,000",socsectot,41753457000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Total Social Security benefits,BS
3,"$10,000 under $15,000",taxbc,1799725000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income","Income tax before credits (IRS definition, not PUF definition)",EM
3,"$10,000 under $15,000",taxint,910294000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Taxable interest,I
3,"$10,000 under $15,000",wages,102641467000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Salaries and wages,G
3,"$10,000 under $15,000",id_contributions,774188000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Contributions deduction,CV
3,"$10,000 under $15,000",id_gst,247046000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",General sales tax deduction,BZ
3,"$10,000 under $15,000",id_intpaid,2112627000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Interest paid deduction,CH
3,"$10,000 under $15,000",id_medical_capped,4125665000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Total medical expenses, capped",BN
3,"$10,000 under $15,000",id_medical_uncapped,4548598000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Total medical expenses, uncapped",BP
3,"$10,000 under $15,000",id_mortgage,2032501000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Mortgage interest paid (any recipient),CJ
3,"$10,000 under $15,000",id_pit,232710000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Income tax deduction,BX
3,"$10,000 under $15,000",id_retax,1640758000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Real estate tax deduction,CB
3,"$10,000 under $15,000",id_salt,479756000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",State and local taxes deduction,BV
3,"$10,000 under $15,000",id_taxpaid,2237396000.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Taxes paid deduction,BT
3,"$10,000 under $15,000",nret_id_contributions,427700.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with contributions deduction,CU
3,"$10,000 under $15,000",nret_id_gst,342272.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with general sales tax deduction,BY
3,"$10,000 under $15,000",nret_id_intpaid,348951.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with interest paid deduction,CG
3,"$10,000 under $15,000",nret_id_medical_capped,447636.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, capped",BM
3,"$10,000 under $15,000",nret_id_medical_uncapped,447636.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income","Number of returns with total medical expenses, uncapped",BO
3,"$10,000 under $15,000",nret_id_mortgage,343558.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with mortgage interest paid (any recipient),CI
3,"$10,000 under $15,000",nret_id_pit,202649.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with income tax deduction,BW
3,"$10,000 under $15,000",nret_id_retax,467682.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with real estate tax deduction,CA
3,"$10,000 under $15,000",nret_id_salt,544922.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with state and local taxes deduction,BU
3,"$10,000 under $15,000",nret_id_taxpaid,628196.0,17in21id.xls,"Table 2.1.  Returns with Itemized Deductions: Sources of Income,  Adjustments, Itemized Deductions by Type, Exemptions, and Tax Items, by Size of Adjusted Gross Income",Number of returns with taxes paid deduction,BS
4,"$15,000 under $20,000",agi,186097793000.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit,D
4,"$15,000 under $20,000",nret_all,10665270.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns,B
4,"$15,000 under $20,000",nret_txbl,5223592.0,17in11si.xls,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of taxable returns with taxable income,G
4,"$15,000 under $20,000",agi_hoh,47194950000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, heads of households",AP
4,"$15,000 under $20,000",agi_mfjss,26597577000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, married filing joint and surviving spouses",P
4,"$15,000 under $20,000",agi_mfs,2915132000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, married filing separately",AC
4,"$15,000 under $20,000",agi_single,109390133000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status","Adjusted gross income less deficit, single",BC
4,"$15,000 under $20,000",exemption,74580904000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Exemption amount,D
4,"$15,000 under $20,000",item_ded,11804069000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Total itemized deductions,F
4,"$15,000 under $20,000",nret_hoh,2702244.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of heads of households,AO
4,"$15,000 under $20,000",nret_item,765996.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with itemized deductions,E
4,"$15,000 under $20,000",nret_mfjss,1521743.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing jointly and returns of surviving spouses,O
4,"$15,000 under $20,000",nret_mfs,165662.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of married persons filing separately,AB
4,"$15,000 under $20,000",nret_sd,9898273.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with standard deduction,G
4,"$15,000 under $20,000",nret_single,6275620.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns of single persons,BB
4,"$15,000 under $20,000",nret_taxac,5223592.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with income tax after credits,K
4,"$15,000 under $20,000",nret_taxtot,5223592.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with total income tax,M
4,"$15,000 under $20,000",nret_ti,6683526.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Number of returns with taxable income,I
4,"$15,000 under $20,000",sd,82063650000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Standard deduction,H
4,"$15,000 under $20,000",taxac,3505521000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Income tax after credits,L
4,"$15,000 under $20,000",taxtot,3505521000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Total income tax,N
4,"$15,000 under $20,000",ti,42302838000.0,17in12ms.xls,"Table 1.2.  All Returns: Adjusted Gross Income, Deductions, and Tax Items, by Size of Adjusted Gross Income and by Marital Status",Taxable income,J
4,"$15,000 under $20,000",amt,3913000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Alternative minimum tax,EI
4,"$15,000 under $20,000",busprofnetinc,19024630000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Business or professional net income,U
4,"$15,000 under $20,000",busprofnetloss,-3943899000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Business or professional net loss,W
4,"$15,000 under $20,000",cgdist,224589000.0,17in14ar.xls,"Table 1.4.  All Returns: Sources of Income, Adjustments, and Tax Items, by Size of Adjusted Gross Income",Capital gains distributions,Y
