
Regrown reweighted puf, ipopt method, compared to IRS values, run on 2020-11-21

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub     incrange         pufvar                  irsvar              target                 puf            diff  pdiff  ipdiff                                                                     column_description
105            5         $20,000 under $25,000  e00300  taxint    1,022,021,000    1,023,043,036    1,022,036   0.1%  109.3%   Taxable interest
109            6         $25,000 under $30,000  e00300  taxint      941,757,000      942,698,769      941,769   0.1%  122.5%   Taxable interest
147            7         $30,000 under $40,000  e00300  taxint    1,942,630,000    1,944,572,650    1,942,650   0.1%   81.5%   Taxable interest
302            8         $40,000 under $50,000  e00300  taxint    1,735,295,000    1,737,030,312    1,735,312   0.1%   99.7%   Taxable interest
156            9         $50,000 under $75,000  e00300  taxint    5,574,683,000    5,580,257,740    5,574,740   0.1%   60.0%   Taxable interest
121           10        $75,000 under $100,000  e00300  taxint    5,046,194,000    5,051,240,250    5,046,250   0.1%   59.9%   Taxable interest
466           11       $100,000 under $200,000  e00300  taxint   14,295,833,000   14,310,128,974   14,295,974   0.1%   23.0%   Taxable interest
545           12       $200,000 under $500,000  e00300  taxint   14,390,980,000   14,376,588,882  -14,391,118  -0.1%   -2.8%   Taxable interest
542           13     $500,000 under $1,000,000  e00300  taxint    8,601,677,000    8,593,075,240   -8,601,760  -0.1%    8.0%   Taxable interest
509           14   $1,000,000 under $1,500,000  e00300  taxint    4,459,093,000    4,454,633,863   -4,459,137  -0.1%   -6.4%   Taxable interest
484           15   $1,500,000 under $2,000,000  e00300  taxint    2,988,390,000    2,985,401,581   -2,988,419  -0.1%    0.3%   Taxable interest
459           16   $2,000,000 under $5,000,000  e00300  taxint    8,879,902,000    8,871,022,010   -8,879,990  -0.1%  -13.1%   Taxable interest
785           17  $5,000,000 under $10,000,000  e00300  taxint    5,684,017,000    5,683,825,203     -191,797  -0.0%   -9.8%   Taxable interest
149           18           $10,000,000 or more  e00300  taxint   21,494,866,000   21,516,361,088   21,495,088   0.1%  -56.1%   Taxable interest

     common_stub                      incrange      pufvar       irsvar      target         puf    diff  pdiff  ipdiff                       column_description
647            0                   All returns  e00300_nnz  nret_taxint  44,193,009  44,233,830  40,821   0.1%   21.0%  Number of returns with taxable interest
675            1                  Under $5,000  e00300_nnz  nret_taxint   2,116,158   2,117,637   1,479   0.1%  -15.4%  Number of returns with taxable interest
610            2          $5,000 under $10,000  e00300_nnz  nret_taxint   1,334,991   1,333,660  -1,331  -0.1%  -11.4%  Number of returns with taxable interest
138            3         $10,000 under $15,000  e00300_nnz  nret_taxint   1,452,616   1,454,069   1,453   0.1%   22.3%  Number of returns with taxable interest
163            4         $15,000 under $20,000  e00300_nnz  nret_taxint   1,366,790   1,368,157   1,367   0.1%   31.8%  Number of returns with taxable interest
176            5         $20,000 under $25,000  e00300_nnz  nret_taxint   1,433,085   1,434,518   1,433   0.1%   16.1%  Number of returns with taxable interest
191            6         $25,000 under $30,000  e00300_nnz  nret_taxint   1,326,946   1,328,273   1,327   0.1%   50.1%  Number of returns with taxable interest
234            7         $30,000 under $40,000  e00300_nnz  nret_taxint   2,719,924   2,722,644   2,720   0.1%   30.1%  Number of returns with taxable interest
255            8         $40,000 under $50,000  e00300_nnz  nret_taxint   2,704,026   2,706,730   2,704   0.1%   30.7%  Number of returns with taxable interest
226            9         $50,000 under $75,000  e00300_nnz  nret_taxint   6,608,661   6,615,270   6,609   0.1%   26.4%  Number of returns with taxable interest
207           10        $75,000 under $100,000  e00300_nnz  nret_taxint   5,854,757   5,860,612   5,855   0.1%   19.9%  Number of returns with taxable interest
264           11       $100,000 under $200,000  e00300_nnz  nret_taxint  11,121,958  11,133,080  11,122   0.1%   23.9%  Number of returns with taxable interest
233           12       $200,000 under $500,000  e00300_nnz  nret_taxint   4,755,311   4,760,066   4,755   0.1%   16.4%  Number of returns with taxable interest
173           13     $500,000 under $1,000,000  e00300_nnz  nret_taxint     918,148     919,066     918   0.1%    9.0%  Number of returns with taxable interest
182           14   $1,000,000 under $1,500,000  e00300_nnz  nret_taxint     213,278     213,491     213   0.1%    7.0%  Number of returns with taxable interest
194           15   $1,500,000 under $2,000,000  e00300_nnz  nret_taxint      87,836      87,924      88   0.1%   15.0%  Number of returns with taxable interest
210           16   $2,000,000 under $5,000,000  e00300_nnz  nret_taxint     127,158     127,285     127   0.1%    6.8%  Number of returns with taxable interest
770           17  $5,000,000 under $10,000,000  e00300_nnz  nret_taxint      31,277      31,280       3   0.0%   19.9%  Number of returns with taxable interest
579           18           $10,000,000 or more  e00300_nnz  nret_taxint      20,088      20,068     -20  -0.1%   -1.2%  Number of returns with taxable interest

     common_stub                      incrange  pufvar  irsvar           target              puf         diff  pdiff  ipdiff  column_description
645            0                   All returns  e00600  orddiv  282,336,042,000  282,599,800,967  263,758,967   0.1%    2.9%  Ordinary dividends
776            1                  Under $5,000  e00600  orddiv    6,297,087,000    6,296,598,258     -488,742  -0.0%  -47.8%  Ordinary dividends
629            2          $5,000 under $10,000  e00600  orddiv    1,282,506,000    1,283,754,199    1,248,199   0.1%  -22.3%  Ordinary dividends
122            3         $10,000 under $15,000  e00600  orddiv    1,834,544,000    1,836,378,564    1,834,564   0.1%   22.2%  Ordinary dividends
126            4         $15,000 under $20,000  e00600  orddiv    1,830,363,000    1,832,193,383    1,830,383   0.1%   63.3%  Ordinary dividends
551            5         $20,000 under $25,000  e00600  orddiv    1,903,404,000    1,905,307,422    1,903,422   0.1%   17.9%  Ordinary dividends
497            6         $25,000 under $30,000  e00600  orddiv    1,924,456,000    1,926,380,475    1,924,475   0.1%   35.5%  Ordinary dividends
142            7         $30,000 under $40,000  e00600  orddiv    4,106,378,000    4,110,484,421    4,106,421   0.1%   75.8%  Ordinary dividends
172            8         $40,000 under $50,000  e00600  orddiv    3,903,451,000    3,907,354,491    3,903,491   0.1%  102.0%  Ordinary dividends
141            9         $50,000 under $75,000  e00600  orddiv   13,168,278,000   13,181,446,416   13,168,416   0.1%   56.4%  Ordinary dividends
158           10        $75,000 under $100,000  e00600  orddiv   15,424,556,000   15,439,980,714   15,424,714   0.1%   28.6%  Ordinary dividends
402           11       $100,000 under $200,000  e00600  orddiv   46,748,395,000   46,795,143,859   46,748,859   0.1%    7.3%  Ordinary dividends
253           12       $200,000 under $500,000  e00600  orddiv   53,605,486,000   53,659,092,023   53,606,023   0.1%  -11.3%  Ordinary dividends
168           13     $500,000 under $1,000,000  e00600  orddiv   28,937,256,000   28,966,193,551   28,937,551   0.1%    4.6%  Ordinary dividends
166           14   $1,000,000 under $1,500,000  e00600  orddiv   13,010,147,000   13,023,157,280   13,010,280   0.1%    5.2%  Ordinary dividends
160           15   $1,500,000 under $2,000,000  e00600  orddiv    8,391,122,000    8,399,513,208    8,391,208   0.1%   25.4%  Ordinary dividends
211           16   $2,000,000 under $5,000,000  e00600  orddiv   22,009,340,000   22,031,349,562   22,009,562   0.1%   12.2%  Ordinary dividends
768           17  $5,000,000 under $10,000,000  e00600  orddiv   13,243,761,000   13,245,245,168    1,484,168   0.0%   28.8%  Ordinary dividends
151           18           $10,000,000 or more  e00600  orddiv   44,715,512,000   44,760,227,974   44,715,974   0.1%  -40.2%  Ordinary dividends

     common_stub                      incrange      pufvar       irsvar      target         puf    diff  pdiff  ipdiff                         column_description
653            0                   All returns  e00600_nnz  nret_orddiv  28,171,331  28,196,333  25,002   0.1%    4.4%  Number of returns with ordinary dividends
763            1                  Under $5,000  e00600_nnz  nret_orddiv   1,364,222   1,364,033    -189  -0.0%  -33.9%  Number of returns with ordinary dividends
611            2          $5,000 under $10,000  e00600_nnz  nret_orddiv     815,099     815,911     812   0.1%  -34.1%  Number of returns with ordinary dividends
516            3         $10,000 under $15,000  e00600_nnz  nret_orddiv     875,416     876,291     875   0.1%   -6.7%  Number of returns with ordinary dividends
555            4         $15,000 under $20,000  e00600_nnz  nret_orddiv     794,490     793,696    -794  -0.1%    9.8%  Number of returns with ordinary dividends
278            5         $20,000 under $25,000  e00600_nnz  nret_orddiv     775,451     776,226     775   0.1%   -0.8%  Number of returns with ordinary dividends
318            6         $25,000 under $30,000  e00600_nnz  nret_orddiv     744,390     745,134     744   0.1%   22.6%  Number of returns with ordinary dividends
536            7         $30,000 under $40,000  e00600_nnz  nret_orddiv   1,499,953   1,501,453   1,500   0.1%   11.7%  Number of returns with ordinary dividends
544            8         $40,000 under $50,000  e00600_nnz  nret_orddiv   1,448,472   1,449,920   1,448   0.1%   18.6%  Number of returns with ordinary dividends
483            9         $50,000 under $75,000  e00600_nnz  nret_orddiv   3,812,081   3,815,893   3,812   0.1%    9.4%  Number of returns with ordinary dividends
202           10        $75,000 under $100,000  e00600_nnz  nret_orddiv   3,510,707   3,514,218   3,511   0.1%    7.5%  Number of returns with ordinary dividends
356           11       $100,000 under $200,000  e00600_nnz  nret_orddiv   7,416,984   7,424,401   7,417   0.1%    6.4%  Number of returns with ordinary dividends
273           12       $200,000 under $500,000  e00600_nnz  nret_orddiv   3,869,169   3,873,038   3,869   0.1%    4.4%  Number of returns with ordinary dividends
187           13     $500,000 under $1,000,000  e00600_nnz  nret_orddiv     810,519     811,330     811   0.1%    4.2%  Number of returns with ordinary dividends
184           14   $1,000,000 under $1,500,000  e00600_nnz  nret_orddiv     188,882     189,071     189   0.1%    6.0%  Number of returns with ordinary dividends
199           15   $1,500,000 under $2,000,000  e00600_nnz  nret_orddiv      79,972      80,052      80   0.1%   15.3%  Number of returns with ordinary dividends
212           16   $2,000,000 under $5,000,000  e00600_nnz  nret_orddiv     116,753     116,870     117   0.1%    6.7%  Number of returns with ordinary dividends
746           17  $5,000,000 under $10,000,000  e00600_nnz  nret_orddiv      29,452      29,459       7   0.0%   20.5%  Number of returns with ordinary dividends
127           18           $10,000,000 or more  e00600_nnz  nret_orddiv      19,317      19,336      19   0.1%   -1.5%  Number of returns with ordinary dividends

     common_stub                      incrange  pufvar irsvar           target              puf         diff  pdiff  ipdiff              column_description
639            0                   All returns  c01000  cgnet  843,115,530,000  843,920,112,084  804,582,084   0.1%    0.1%  Net capital gains (calculated)
686            1                  Under $5,000  c01000  cgnet   18,130,300,000   18,119,448,957  -10,851,043  -0.1%  -67.8%  Net capital gains (calculated)
70             2          $5,000 under $10,000  c01000  cgnet      332,893,000      334,311,500    1,418,500   0.4%  -54.0%  Net capital gains (calculated)
572            3         $10,000 under $15,000  c01000  cgnet      958,936,000      957,977,055     -958,945  -0.1%  -14.8%  Net capital gains (calculated)
84             4         $15,000 under $20,000  c01000  cgnet      884,746,000      886,512,895    1,766,895   0.2%   56.3%  Net capital gains (calculated)
87             5         $20,000 under $25,000  c01000  cgnet    1,297,368,000    1,299,495,553    2,127,553   0.2%   13.6%  Net capital gains (calculated)
85             6         $25,000 under $30,000  c01000  cgnet    1,071,104,000    1,073,049,133    1,945,133   0.2%   21.5%  Net capital gains (calculated)
88             7         $30,000 under $40,000  c01000  cgnet    2,978,233,000    2,982,853,478    4,620,478   0.2%   27.7%  Net capital gains (calculated)
91             8         $40,000 under $50,000  c01000  cgnet    3,953,248,000    3,958,605,668    5,357,668   0.1%   98.6%  Net capital gains (calculated)
90             9         $50,000 under $75,000  c01000  cgnet   11,468,878,000   11,484,426,882   15,548,882   0.1%   47.8%  Net capital gains (calculated)
94            10        $75,000 under $100,000  c01000  cgnet   16,586,379,000   16,606,847,529   20,468,529   0.1%    8.6%  Net capital gains (calculated)
96            11       $100,000 under $200,000  c01000  cgnet   62,233,503,000   62,303,818,335   70,315,335   0.1%  -11.1%  Net capital gains (calculated)
97            12       $200,000 under $500,000  c01000  cgnet  107,574,589,000  107,686,959,077  112,370,077   0.1%   -6.8%  Net capital gains (calculated)
98            13     $500,000 under $1,000,000  c01000  cgnet   78,873,254,000   78,953,231,120   79,977,120   0.1%   10.4%  Net capital gains (calculated)
100           14   $1,000,000 under $1,500,000  c01000  cgnet   42,840,001,000   42,883,111,331   43,110,331   0.1%   16.2%  Net capital gains (calculated)
101           15   $1,500,000 under $2,000,000  c01000  cgnet   29,758,780,000   29,788,647,887   29,867,887   0.1%   33.9%  Net capital gains (calculated)
103           16   $2,000,000 under $5,000,000  c01000  cgnet   93,429,149,000   93,522,726,468   93,577,468   0.1%   27.8%  Net capital gains (calculated)
707           17  $5,000,000 under $10,000,000  c01000  cgnet   68,977,756,000   69,009,889,030   32,133,030   0.0%   38.5%  Net capital gains (calculated)
104           18           $10,000,000 or more  c01000  cgnet  301,766,414,000  302,068,200,184  301,786,184   0.1%  -20.9%  Net capital gains (calculated)

     common_stub                      incrange      pufvar      irsvar      target         puf     diff  pdiff  ipdiff                                     column_description
698            0                   All returns  c01000_nnz  nret_cgnet  21,169,727  21,158,761  -10,966  -0.1%  -11.8%  Number of returns with net capital gains (calculated)
748            1                  Under $5,000  c01000_nnz  nret_cgnet   1,146,675   1,146,409     -266  -0.0%  -43.8%  Number of returns with net capital gains (calculated)
626            2          $5,000 under $10,000  c01000_nnz  nret_cgnet     589,101     588,524     -577  -0.1%  -42.5%  Number of returns with net capital gains (calculated)
498            3         $10,000 under $15,000  c01000_nnz  nret_cgnet     581,780     581,198     -582  -0.1%  -25.4%  Number of returns with net capital gains (calculated)
754            4         $15,000 under $20,000  c01000_nnz  nret_cgnet     510,653     510,552     -101  -0.0%  -10.8%  Number of returns with net capital gains (calculated)
736            5         $20,000 under $25,000  c01000_nnz  nret_cgnet     514,920     514,786     -134  -0.0%  -13.7%  Number of returns with net capital gains (calculated)
426            6         $25,000 under $30,000  c01000_nnz  nret_cgnet     518,192     517,674     -518  -0.1%  -19.3%  Number of returns with net capital gains (calculated)
749            7         $30,000 under $40,000  c01000_nnz  nret_cgnet     991,225     990,995     -230  -0.0%  -12.5%  Number of returns with net capital gains (calculated)
451            8         $40,000 under $50,000  c01000_nnz  nret_cgnet     965,986     965,020     -966  -0.1%    4.6%  Number of returns with net capital gains (calculated)
734            9         $50,000 under $75,000  c01000_nnz  nret_cgnet   2,615,712   2,614,941     -771  -0.0%   -6.8%  Number of returns with net capital gains (calculated)
731           10        $75,000 under $100,000  c01000_nnz  nret_cgnet   2,553,808   2,553,014     -794  -0.0%  -12.0%  Number of returns with net capital gains (calculated)
727           11       $100,000 under $200,000  c01000_nnz  nret_cgnet   5,551,044   5,549,097   -1,947  -0.0%  -10.5%  Number of returns with net capital gains (calculated)
435           12       $200,000 under $500,000  c01000_nnz  nret_cgnet   3,398,791   3,395,392   -3,399  -0.1%   -7.2%  Number of returns with net capital gains (calculated)
709           13     $500,000 under $1,000,000  c01000_nnz  nret_cgnet     788,507     788,145     -362  -0.0%   -1.9%  Number of returns with net capital gains (calculated)
705           14   $1,000,000 under $1,500,000  c01000_nnz  nret_cgnet     191,335     191,242      -93  -0.0%    2.1%  Number of returns with net capital gains (calculated)
617           15   $1,500,000 under $2,000,000  c01000_nnz  nret_cgnet      81,600      81,519      -81  -0.1%   12.3%  Number of returns with net capital gains (calculated)
417           16   $2,000,000 under $5,000,000  c01000_nnz  nret_cgnet     120,348     120,228     -120  -0.1%    4.4%  Number of returns with net capital gains (calculated)
762           17  $5,000,000 under $10,000,000  c01000_nnz  nret_cgnet      30,254      30,249       -5  -0.0%   19.6%  Number of returns with net capital gains (calculated)
575           18           $10,000,000 or more  c01000_nnz  nret_cgnet      19,795      19,775      -20  -0.1%   -1.6%  Number of returns with net capital gains (calculated)

     common_stub                      incrange     pufvar   irsvar           target              puf         diff  pdiff  ipdiff           column_description
649            0                   All returns  c01000pos  cggross  859,894,631,000  860,684,790,653  790,159,653   0.1%   -0.4%  Capital gains gross taxable
700            1                  Under $5,000  c01000pos  cggross   19,771,923,000   19,761,764,090  -10,158,910  -0.1%  -65.9%  Capital gains gross taxable
602            2          $5,000 under $10,000  c01000pos  cggross      879,902,000      880,781,888      879,888   0.1%  -37.8%  Capital gains gross taxable
564            3         $10,000 under $15,000  c01000pos  cggross    1,475,473,000    1,473,997,513   -1,475,487  -0.1%  -20.4%  Capital gains gross taxable
547            4         $15,000 under $20,000  c01000pos  cggross    1,325,812,000    1,327,137,825    1,325,825   0.1%   26.9%  Capital gains gross taxable
357            5         $20,000 under $25,000  c01000pos  cggross    1,712,450,000    1,714,162,467    1,712,467   0.1%    3.9%  Capital gains gross taxable
495            6         $25,000 under $30,000  c01000pos  cggross    1,508,109,000    1,509,617,124    1,508,124   0.1%    8.4%  Capital gains gross taxable
502            7         $30,000 under $40,000  c01000pos  cggross    3,799,333,000    3,803,132,370    3,799,370   0.1%   15.1%  Capital gains gross taxable
197            8         $40,000 under $50,000  c01000pos  cggross    4,655,431,000    4,660,086,478    4,655,478   0.1%   83.4%  Capital gains gross taxable
214            9         $50,000 under $75,000  c01000pos  cggross   13,508,802,000   13,522,310,938   13,508,938   0.1%   36.8%  Capital gains gross taxable
154           10        $75,000 under $100,000  c01000pos  cggross   18,527,349,000   18,545,876,540   18,527,540   0.1%    5.0%  Capital gains gross taxable
491           11       $100,000 under $200,000  c01000pos  cggross   66,274,073,000   66,340,347,725   66,274,725   0.1%  -11.3%  Capital gains gross taxable
190           12       $200,000 under $500,000  c01000pos  cggross  109,971,765,000  110,081,737,877  109,972,877   0.1%   -7.0%  Capital gains gross taxable
133           13     $500,000 under $1,000,000  c01000pos  cggross   79,424,756,000   79,504,181,613   79,425,613   0.1%   10.2%  Capital gains gross taxable
136           14   $1,000,000 under $1,500,000  c01000pos  cggross   42,974,938,000   43,017,913,393   42,975,393   0.1%   16.1%  Capital gains gross taxable
150           15   $1,500,000 under $2,000,000  c01000pos  cggross   29,813,179,000   29,842,992,487   29,813,487   0.1%   33.8%  Capital gains gross taxable
169           16   $2,000,000 under $5,000,000  c01000pos  cggross   93,502,832,000   93,596,335,784   93,503,784   0.1%   27.8%  Capital gains gross taxable
708           17  $5,000,000 under $10,000,000  c01000pos  cggross   68,993,824,000   69,025,955,624   32,131,624   0.0%   38.5%  Capital gains gross taxable
134           18           $10,000,000 or more  c01000pos  cggross  301,774,681,000  302,076,458,917  301,777,917   0.1%  -20.9%  Capital gains gross taxable

     common_stub                      incrange         pufvar        irsvar      target         puf     diff  pdiff  ipdiff                                  column_description
636            0                   All returns  c01000pos_nnz  nret_cggross  13,698,506  13,685,353  -13,153  -0.1%  -10.1%  Number of returns with capital gains gross taxable
753            1                  Under $5,000  c01000pos_nnz  nret_cggross     437,630     437,719       89   0.0%  -44.0%  Number of returns with capital gains gross taxable
603            2          $5,000 under $10,000  c01000pos_nnz  nret_cggross     324,549     324,225     -324  -0.1%  -47.3%  Number of returns with capital gains gross taxable
477            3         $10,000 under $15,000  c01000pos_nnz  nret_cggross     347,534     347,186     -348  -0.1%  -23.9%  Number of returns with capital gains gross taxable
444            4         $15,000 under $20,000  c01000pos_nnz  nret_cggross     305,884     305,578     -306  -0.1%   -4.9%  Number of returns with capital gains gross taxable
475            5         $20,000 under $25,000  c01000pos_nnz  nret_cggross     324,651     324,326     -325  -0.1%  -14.1%  Number of returns with capital gains gross taxable
431            6         $25,000 under $30,000  c01000pos_nnz  nret_cggross     313,023     312,710     -313  -0.1%  -18.0%  Number of returns with capital gains gross taxable
367            7         $30,000 under $40,000  c01000pos_nnz  nret_cggross     610,424     609,814     -610  -0.1%   -9.0%  Number of returns with capital gains gross taxable
385            8         $40,000 under $50,000  c01000pos_nnz  nret_cggross     637,343     636,706     -637  -0.1%    7.1%  Number of returns with capital gains gross taxable
395            9         $50,000 under $75,000  c01000pos_nnz  nret_cggross   1,693,384   1,691,691   -1,693  -0.1%   -2.8%  Number of returns with capital gains gross taxable
427           10        $75,000 under $100,000  c01000pos_nnz  nret_cggross   1,673,930   1,672,256   -1,674  -0.1%   -9.7%  Number of returns with capital gains gross taxable
327           11       $100,000 under $200,000  c01000pos_nnz  nret_cggross   3,748,985   3,745,236   -3,749  -0.1%  -12.6%  Number of returns with capital gains gross taxable
376           12       $200,000 under $500,000  c01000pos_nnz  nret_cggross   2,366,587   2,364,220   -2,367  -0.1%   -7.1%  Number of returns with capital gains gross taxable
510           13     $500,000 under $1,000,000  c01000pos_nnz  nret_cggross     575,245     574,670     -575  -0.1%   -1.7%  Number of returns with capital gains gross taxable
492           14   $1,000,000 under $1,500,000  c01000pos_nnz  nret_cggross     142,145     142,003     -142  -0.1%    5.4%  Number of returns with capital gains gross taxable
473           15   $1,500,000 under $2,000,000  c01000pos_nnz  nret_cggross      61,878      61,816      -62  -0.1%   19.1%  Number of returns with capital gains gross taxable
432           16   $2,000,000 under $5,000,000  c01000pos_nnz  nret_cggross      93,801      93,707      -94  -0.1%   10.0%  Number of returns with capital gains gross taxable
757           17  $5,000,000 under $10,000,000  c01000pos_nnz  nret_cggross      24,609      24,605       -4  -0.0%   25.7%  Number of returns with capital gains gross taxable
578           18           $10,000,000 or more  c01000pos_nnz  nret_cggross      16,902      16,885      -17  -0.1%    2.0%  Number of returns with capital gains gross taxable

     common_stub                      incrange     pufvar  irsvar           target              puf        diff  pdiff  ipdiff    column_description
657            0                   All returns  c01000neg  cgloss  -16,779,101,000  -16,764,678,569  14,422,431  -0.1%  -21.8%  Capital loss taxable
715            1                  Under $5,000  c01000neg  cgloss   -1,641,623,000   -1,642,315,132    -692,132   0.0%  -44.7%  Capital loss taxable
620            2          $5,000 under $10,000  c01000neg  cgloss     -547,009,000     -546,470,388     538,612  -0.1%  -28.0%  Capital loss taxable
528            3         $10,000 under $15,000  c01000neg  cgloss     -516,537,000     -516,020,458     516,542  -0.1%  -30.9%  Capital loss taxable
511            4         $15,000 under $20,000  c01000neg  cgloss     -441,066,000     -440,624,930     441,070  -0.1%  -32.1%  Capital loss taxable
529            5         $20,000 under $25,000  c01000neg  cgloss     -415,082,000     -414,666,914     415,086  -0.1%  -26.5%  Capital loss taxable
490            6         $25,000 under $30,000  c01000neg  cgloss     -437,005,000     -436,567,991     437,009  -0.1%  -23.7%  Capital loss taxable
453            7         $30,000 under $40,000  c01000neg  cgloss     -821,100,000     -820,278,892     821,108  -0.1%  -30.7%  Capital loss taxable
482            8         $40,000 under $50,000  c01000neg  cgloss     -702,183,000     -701,480,810     702,190  -0.1%   -2.4%  Capital loss taxable
332            9         $50,000 under $75,000  c01000neg  cgloss   -2,039,924,000   -2,037,884,056   2,039,944  -0.1%  -25.5%  Capital loss taxable
366           10        $75,000 under $100,000  c01000neg  cgloss   -1,940,970,000   -1,939,029,011   1,940,989  -0.1%  -25.5%  Capital loss taxable
352           11       $100,000 under $200,000  c01000neg  cgloss   -4,040,570,000   -4,036,529,390   4,040,610  -0.1%  -14.0%  Capital loss taxable
390           12       $200,000 under $500,000  c01000neg  cgloss   -2,397,176,000   -2,394,778,800   2,397,200  -0.1%  -13.5%  Capital loss taxable
325           13     $500,000 under $1,000,000  c01000neg  cgloss     -551,502,000     -550,950,492     551,508  -0.1%   -9.2%  Capital loss taxable
309           14   $1,000,000 under $1,500,000  c01000neg  cgloss     -134,937,000     -134,802,062     134,938  -0.1%  -12.3%  Capital loss taxable
334           15   $1,500,000 under $2,000,000  c01000neg  cgloss      -54,399,000      -54,344,600      54,400  -0.1%  -10.7%  Capital loss taxable
328           16   $2,000,000 under $5,000,000  c01000neg  cgloss      -73,683,000      -73,609,316      73,684  -0.1%  -16.6%  Capital loss taxable
774           17  $5,000,000 under $10,000,000  c01000neg  cgloss      -16,068,000      -16,066,594       1,406  -0.0%   -7.9%  Capital loss taxable
571           18           $10,000,000 or more  c01000neg  cgloss       -8,267,000       -8,258,733       8,267  -0.1%  -22.8%  Capital loss taxable

     common_stub                      incrange         pufvar       irsvar     target        puf    diff  pdiff  ipdiff                           column_description
735            0                   All returns  c01000neg_nnz  nret_cgloss  7,471,221  7,473,408   2,187   0.0%  -15.1%  Number of returns with capital loss taxable
701            1                  Under $5,000  c01000neg_nnz  nret_cgloss    709,045    708,690    -355  -0.1%  -43.7%  Number of returns with capital loss taxable
640            2          $5,000 under $10,000  c01000neg_nnz  nret_cgloss    264,552    264,300    -252  -0.1%  -36.8%  Number of returns with capital loss taxable
518            3         $10,000 under $15,000  c01000neg_nnz  nret_cgloss    234,246    234,012    -234  -0.1%  -27.6%  Number of returns with capital loss taxable
179            4         $15,000 under $20,000  c01000neg_nnz  nret_cgloss    204,769    204,974     205   0.1%  -19.7%  Number of returns with capital loss taxable
189            5         $20,000 under $25,000  c01000neg_nnz  nret_cgloss    190,269    190,459     190   0.1%  -13.0%  Number of returns with capital loss taxable
422            6         $25,000 under $30,000  c01000neg_nnz  nret_cgloss    205,169    204,964    -205  -0.1%  -21.2%  Number of returns with capital loss taxable
307            7         $30,000 under $40,000  c01000neg_nnz  nret_cgloss    380,801    381,182     381   0.1%  -18.0%  Number of returns with capital loss taxable
515            8         $40,000 under $50,000  c01000neg_nnz  nret_cgloss    328,643    328,314    -329  -0.1%   -0.2%  Number of returns with capital loss taxable
301            9         $50,000 under $75,000  c01000neg_nnz  nret_cgloss    922,328    923,250     922   0.1%  -14.3%  Number of returns with capital loss taxable
313           10        $75,000 under $100,000  c01000neg_nnz  nret_cgloss    879,878    880,758     880   0.1%  -16.4%  Number of returns with capital loss taxable
486           11       $100,000 under $200,000  c01000neg_nnz  nret_cgloss  1,802,059  1,803,861   1,802   0.1%   -6.0%  Number of returns with capital loss taxable
505           12       $200,000 under $500,000  c01000neg_nnz  nret_cgloss  1,032,204  1,031,172  -1,032  -0.1%   -7.4%  Number of returns with capital loss taxable
260           13     $500,000 under $1,000,000  c01000neg_nnz  nret_cgloss    213,262    213,475     213   0.1%   -2.6%  Number of returns with capital loss taxable
243           14   $1,000,000 under $1,500,000  c01000neg_nnz  nret_cgloss     49,190     49,239      49   0.1%   -7.5%  Number of returns with capital loss taxable
637           15   $1,500,000 under $2,000,000  c01000neg_nnz  nret_cgloss     19,722     19,703     -19  -0.1%   -9.0%  Number of returns with capital loss taxable
323           16   $2,000,000 under $5,000,000  c01000neg_nnz  nret_cgloss     26,547     26,520     -27  -0.1%  -15.7%  Number of returns with capital loss taxable
790           17  $5,000,000 under $10,000,000  c01000neg_nnz  nret_cgloss      5,645      5,645      -0  -0.0%   -6.6%  Number of returns with capital loss taxable
570           18           $10,000,000 or more  c01000neg_nnz  nret_cgloss      2,893      2,890      -3  -0.1%  -23.3%  Number of returns with capital loss taxable

     common_stub                      incrange  pufvar    irsvar             target                puf          diff  pdiff  ipdiff                                   column_description
681            0                   All returns  e01500  pensions  1,171,791,907,000  1,171,075,038,624  -716,868,376  -0.1%   -0.9%  Total pensions and annuities (including nontaxable)
761            1                  Under $5,000  e01500  pensions     13,204,540,000     13,206,605,807     2,065,807   0.0%  -36.2%  Total pensions and annuities (including nontaxable)
646            2          $5,000 under $10,000  e01500  pensions     10,211,529,000     10,221,023,331     9,494,331   0.1%  -66.4%  Total pensions and annuities (including nontaxable)
145            3         $10,000 under $15,000  e01500  pensions     18,171,930,000     18,190,102,119    18,172,119   0.1%   -7.3%  Total pensions and annuities (including nontaxable)
183            4         $15,000 under $20,000  e01500  pensions     20,721,157,000     20,741,878,367    20,721,367   0.1%    3.2%  Total pensions and annuities (including nontaxable)
584            5         $20,000 under $25,000  e01500  pensions     23,912,287,000     23,936,199,499    23,912,499   0.1%   -5.7%  Total pensions and annuities (including nontaxable)
508            6         $25,000 under $30,000  e01500  pensions     23,998,290,000     24,022,288,525    23,998,525   0.1%   26.0%  Total pensions and annuities (including nontaxable)
517            7         $30,000 under $40,000  e01500  pensions     48,794,181,000     48,842,975,657    48,794,657   0.1%   12.4%  Total pensions and annuities (including nontaxable)
