
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-16

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

     common_stub         pufvar              target                 puf             diff  pdiff  ipdiff                                                                    column_description
23           2.0  c01000pos      879,902,000      879,902,000      0   0.0%  -37.8%  Capital gains gross taxable
125          3.0  c01000pos    1,475,473,000    1,475,473,000      0   0.0%  -20.4%  Capital gains gross taxable
295          4.0  c01000pos    1,325,812,000    1,325,812,000     -0  -0.0%   26.9%  Capital gains gross taxable
261          5.0  c01000pos    1,712,450,000    1,712,450,000      0   0.0%    3.9%  Capital gains gross taxable
499          6.0  c01000pos    1,508,109,000    1,508,109,000     -0  -0.0%    8.4%  Capital gains gross taxable
533          7.0  c01000pos    3,799,333,000    3,799,333,000     -0  -0.0%   15.1%  Capital gains gross taxable
601          8.0  c01000pos    4,655,431,000    4,655,431,000     -0  -0.0%   83.4%  Capital gains gross taxable
431          9.0  c01000pos   13,508,802,000   13,508,802,000      0   0.0%   36.8%  Capital gains gross taxable
465         10.0  c01000pos   18,527,349,000   18,527,349,000     -0  -0.0%    5.0%  Capital gains gross taxable
329         11.0  c01000pos   66,274,073,000   66,274,073,000     -0  -0.0%  -11.3%  Capital gains gross taxable
57          12.0  c01000pos  109,971,765,000  109,971,765,000     -0  -0.0%   -7.0%  Capital gains gross taxable
397         13.0  c01000pos   79,424,756,000   79,424,756,000      0   0.0%   10.2%  Capital gains gross taxable
193         14.0  c01000pos   42,974,938,000   42,974,938,000     -0  -0.0%   16.1%  Capital gains gross taxable
227         15.0  c01000pos   29,813,179,000   29,813,179,000     -0  -0.0%   33.8%  Capital gains gross taxable
363         16.0  c01000pos   93,502,832,000   93,502,832,000      0   0.0%   27.8%  Capital gains gross taxable
159         17.0  c01000pos   68,993,824,000   68,993,824,000      0   0.0%   38.5%  Capital gains gross taxable
635         18.0  c01000pos  301,774,681,000  301,774,681,000      0   0.0%  -20.9%  Capital gains gross taxable

     common_stub         pufvar      target         puf diff  pdiff  ipdiff                                  column_description
552          0.0  c01000pos_nnz  13,698,506  13,698,504   -2  -0.0%  -10.1%  Number of returns with capital gains gross taxable
76           1.0  c01000pos_nnz     437,630     437,630    0   0.0%  -44.0%  Number of returns with capital gains gross taxable
8            2.0  c01000pos_nnz     324,549     324,549   -0  -0.0%  -47.3%  Number of returns with capital gains gross taxable
110          3.0  c01000pos_nnz     347,534     347,534   -0  -0.0%  -23.9%  Number of returns with capital gains gross taxable
280          4.0  c01000pos_nnz     305,884     305,884    0   0.0%   -4.9%  Number of returns with capital gains gross taxable
246          5.0  c01000pos_nnz     324,651     324,651    0   0.0%  -14.1%  Number of returns with capital gains gross taxable
484          6.0  c01000pos_nnz     313,023     313,023    0   0.0%  -18.0%  Number of returns with capital gains gross taxable
518          7.0  c01000pos_nnz     610,424     610,424   -0  -0.0%   -9.0%  Number of returns with capital gains gross taxable
586          8.0  c01000pos_nnz     637,343     637,343   -0  -0.0%    7.1%  Number of returns with capital gains gross taxable
416          9.0  c01000pos_nnz   1,693,384   1,693,384   -0  -0.0%   -2.8%  Number of returns with capital gains gross taxable
450         10.0  c01000pos_nnz   1,673,930   1,673,930    0   0.0%   -9.7%  Number of returns with capital gains gross taxable
314         11.0  c01000pos_nnz   3,748,985   3,748,985    0   0.0%  -12.6%  Number of returns with capital gains gross taxable
42          12.0  c01000pos_nnz   2,366,587   2,366,587    0   0.0%   -7.1%  Number of returns with capital gains gross taxable
382         13.0  c01000pos_nnz     575,245     575,245    0   0.0%   -1.7%  Number of returns with capital gains gross taxable
178         14.0  c01000pos_nnz     142,145     142,145    0   0.0%    5.4%  Number of returns with capital gains gross taxable
212         15.0  c01000pos_nnz      61,878      61,878   -0  -0.0%   19.1%  Number of returns with capital gains gross taxable
348         16.0  c01000pos_nnz      93,801      93,801    0   0.0%   10.0%  Number of returns with capital gains gross taxable
144         17.0  c01000pos_nnz      24,609      24,609    0   0.0%   25.7%  Number of returns with capital gains gross taxable
620         18.0  c01000pos_nnz      16,902      16,902   -0  -0.0%    2.0%  Number of returns with capital gains gross taxable

     common_stub     pufvar           target              puf diff  pdiff  ipdiff    column_description
576          0.0  c01000neg  -16,779,101,000  -16,779,101,000   -0   0.0%  -21.8%  Capital loss taxable
100          1.0  c01000neg   -1,641,623,000   -1,641,623,000   -0   0.0%  -44.7%  Capital loss taxable
32           2.0  c01000neg     -547,009,000     -547,009,000   -0   0.0%  -28.0%  Capital loss taxable
134          3.0  c01000neg     -516,537,000     -516,537,000    0  -0.0%  -30.9%  Capital loss taxable
304          4.0  c01000neg     -441,066,000     -441,066,000    0  -0.0%  -32.1%  Capital loss taxable
270          5.0  c01000neg     -415,082,000     -415,082,000   -0   0.0%  -26.5%  Capital loss taxable
508          6.0  c01000neg     -437,005,000     -437,005,000    0  -0.0%  -23.7%  Capital loss taxable
542          7.0  c01000neg     -821,100,000     -821,100,000    0  -0.0%  -30.7%  Capital loss taxable
610          8.0  c01000neg     -702,183,000     -702,183,000   -0   0.0%   -2.4%  Capital loss taxable
440          9.0  c01000neg   -2,039,924,000   -2,039,924,000   -0   0.0%  -25.5%  Capital loss taxable
474         10.0  c01000neg   -1,940,970,000   -1,940,970,000    0  -0.0%  -25.5%  Capital loss taxable
338         11.0  c01000neg   -4,040,570,000   -4,040,570,000    0  -0.0%  -14.0%  Capital loss taxable
66          12.0  c01000neg   -2,397,176,000   -2,397,176,000   -0   0.0%  -13.5%  Capital loss taxable
406         13.0  c01000neg     -551,502,000     -551,502,000   -0   0.0%   -9.2%  Capital loss taxable
202         14.0  c01000neg     -134,937,000     -134,937,000    0  -0.0%  -12.3%  Capital loss taxable
236         15.0  c01000neg      -54,399,000      -54,399,000   -0   0.0%  -10.7%  Capital loss taxable
372         16.0  c01000neg      -73,683,000      -73,683,000   -0   0.0%  -16.6%  Capital loss taxable
168         17.0  c01000neg      -16,068,000      -16,068,000   -0   0.0%   -7.9%  Capital loss taxable
644         18.0  c01000neg       -8,267,000       -8,267,000   -0   0.0%  -22.8%  Capital loss taxable

     common_stub         pufvar     target        puf diff  pdiff  ipdiff                           column_description
553          0.0  c01000neg_nnz  7,471,221  7,471,222    1   0.0%  -15.1%  Number of returns with capital loss taxable
77           1.0  c01000neg_nnz    709,045    709,045    0   0.0%  -43.7%  Number of returns with capital loss taxable
9            2.0  c01000neg_nnz    264,552    264,552    0   0.0%  -36.8%  Number of returns with capital loss taxable
111          3.0  c01000neg_nnz    234,246    234,246    0   0.0%  -27.6%  Number of returns with capital loss taxable
281          4.0  c01000neg_nnz    204,769    204,769   -0  -0.0%  -19.7%  Number of returns with capital loss taxable
247          5.0  c01000neg_nnz    190,269    190,269    0   0.0%  -13.0%  Number of returns with capital loss taxable
485          6.0  c01000neg_nnz    205,169    205,169   -0  -0.0%  -21.2%  Number of returns with capital loss taxable
519          7.0  c01000neg_nnz    380,801    380,801    0   0.0%  -18.0%  Number of returns with capital loss taxable
587          8.0  c01000neg_nnz    328,643    328,643   -0  -0.0%   -0.2%  Number of returns with capital loss taxable
417          9.0  c01000neg_nnz    922,328    922,328   -0  -0.0%  -14.3%  Number of returns with capital loss taxable
451         10.0  c01000neg_nnz    879,878    879,878    0   0.0%  -16.4%  Number of returns with capital loss taxable
315         11.0  c01000neg_nnz  1,802,059  1,802,059    0   0.0%   -6.0%  Number of returns with capital loss taxable
43          12.0  c01000neg_nnz  1,032,204  1,032,204   -0  -0.0%   -7.4%  Number of returns with capital loss taxable
383         13.0  c01000neg_nnz    213,262    213,262   -0  -0.0%   -2.6%  Number of returns with capital loss taxable
179         14.0  c01000neg_nnz     49,190     49,190   -0  -0.0%   -7.5%  Number of returns with capital loss taxable
213         15.0  c01000neg_nnz     19,722     19,722    0   0.0%   -9.0%  Number of returns with capital loss taxable
349         16.0  c01000neg_nnz     26,547     26,547    0   0.0%  -15.7%  Number of returns with capital loss taxable
145         17.0  c01000neg_nnz      5,645      5,645    0   0.0%   -6.6%  Number of returns with capital loss taxable
621         18.0  c01000neg_nnz      2,893      2,893   -0  -0.0%  -23.3%  Number of returns with capital loss taxable

     common_stub  pufvar             target                puf    diff  pdiff  ipdiff                                   column_description
568          0.0  e01500  1,171,791,907,000  1,171,791,906,000  -1,000  -0.0%   -0.9%  Total pensions and annuities (including nontaxable)
92           1.0  e01500     13,204,540,000     13,204,540,000       0   0.0%  -36.2%  Total pensions and annuities (including nontaxable)
24           2.0  e01500     10,211,529,000     10,211,529,000      -0  -0.0%  -66.4%  Total pensions and annuities (including nontaxable)
126          3.0  e01500     18,171,930,000     18,171,930,000       0   0.0%   -7.3%  Total pensions and annuities (including nontaxable)
296          4.0  e01500     20,721,157,000     20,721,157,000      -0  -0.0%    3.2%  Total pensions and annuities (including nontaxable)
262          5.0  e01500     23,912,287,000     23,912,287,000       0   0.0%   -5.7%  Total pensions and annuities (including nontaxable)
500          6.0  e01500     23,998,290,000     23,998,290,000      -0  -0.0%   26.0%  Total pensions and annuities (including nontaxable)
534          7.0  e01500     48,794,181,000     48,794,181,000      -0  -0.0%   12.4%  Total pensions and annuities (including nontaxable)
602          8.0  e01500     51,533,778,000     51,533,778,000       0   0.0%   20.8%  Total pensions and annuities (including nontaxable)
432          9.0  e01500    158,863,197,000    158,863,197,000       0   0.0%    7.6%  Total pensions and annuities (including nontaxable)
466         10.0  e01500    166,773,240,000    166,773,240,000      -0  -0.0%    0.9%  Total pensions and annuities (including nontaxable)
330         11.0  e01500    372,883,554,000    372,883,554,000      -0  -0.0%   -4.3%  Total pensions and annuities (including nontaxable)
58          12.0  e01500    195,414,646,000    195,414,646,000      -0  -0.0%  -10.8%  Total pensions and annuities (including nontaxable)
398         13.0  e01500     41,237,548,000     41,237,548,000       0   0.0%   -0.6%  Total pensions and annuities (including nontaxable)
194         14.0  e01500     10,150,853,000     10,150,853,000      -0  -0.0%   10.5%  Total pensions and annuities (including nontaxable)
228         15.0  e01500      4,472,303,000      4,472,303,000      -0  -0.0%   24.6%  Total pensions and annuities (including nontaxable)
364         16.0  e01500      7,144,885,000      7,144,885,000       0   0.0%   19.4%  Total pensions and annuities (including nontaxable)
160         17.0  e01500      2,160,456,000      2,160,456,000       0   0.0%   22.9%  Total pensions and annuities (including nontaxable)
636         18.0  e01500      2,143,532,000      2,143,532,000      -0  -0.0%   -9.8%  Total pensions and annuities (including nontaxable)

     common_stub      pufvar      target         puf diff  pdiff  ipdiff                                                          column_description
573          0.0  e01500_nnz  30,610,779  30,610,779    0   0.0%   -2.8%  Number of returns with total pensions and annuities (including nontaxable)
97           1.0  e01500_nnz   1,004,073   1,004,073    0   0.0%  -59.5%  Number of returns with total pensions and annuities (including nontaxable)
29           2.0  e01500_nnz   1,208,473   1,208,473   -0  -0.0%  -69.2%  Number of returns with total pensions and annuities (including nontaxable)
131          3.0  e01500_nnz   1,573,498   1,573,498    0   0.0%  -18.6%  Number of returns with total pensions and annuities (including nontaxable)
301          4.0  e01500_nnz   1,545,385   1,545,385   -0  -0.0%   -5.8%  Number of returns with total pensions and annuities (including nontaxable)
267          5.0  e01500_nnz   1,507,057   1,507,057    0   0.0%   -9.6%  Number of returns with total pensions and annuities (including nontaxable)
505          6.0  e01500_nnz   1,360,383   1,360,383    0   0.0%   22.4%  Number of returns with total pensions and annuities (including nontaxable)
539          7.0  e01500_nnz   2,496,150   2,496,150   -0  -0.0%    4.1%  Number of returns with total pensions and annuities (including nontaxable)
607          8.0  e01500_nnz   2,203,783   2,203,783   -0  -0.0%   11.5%  Number of returns with total pensions and annuities (including nontaxable)
437          9.0  e01500_nnz   5,129,174   5,129,174   -0  -0.0%    5.4%  Number of returns with total pensions and annuities (including nontaxable)
471         10.0  e01500_nnz   4,060,177   4,060,177    0   0.0%    0.3%  Number of returns with total pensions and annuities (including nontaxable)
335         11.0  e01500_nnz   6,326,557   6,326,557    0   0.0%    2.1%  Number of returns with total pensions and annuities (including nontaxable)
63          12.0  e01500_nnz   1,838,752   1,838,752    0   0.0%   -0.0%  Number of returns with total pensions and annuities (including nontaxable)
403         13.0  e01500_nnz     240,808     240,808    0   0.0%    7.0%  Number of returns with total pensions and annuities (including nontaxable)
199         14.0  e01500_nnz      52,066      52,066   -0  -0.0%   13.1%  Number of returns with total pensions and annuities (including nontaxable)
233         15.0  e01500_nnz      21,292      21,292   -0  -0.0%   23.9%  Number of returns with total pensions and annuities (including nontaxable)
369         16.0  e01500_nnz      30,807      30,807   -0  -0.0%   15.2%  Number of returns with total pensions and annuities (including nontaxable)
165         17.0  e01500_nnz       7,500       7,500   -0  -0.0%   28.5%  Number of returns with total pensions and annuities (including nontaxable)
641         18.0  e01500_nnz       4,844       4,844   -0  -0.0%    2.1%  Number of returns with total pensions and annuities (including nontaxable)

     common_stub  pufvar           target              puf             diff   pdiff  ipdiff              column_description
546          0.0  e02400  644,989,570,000  608,875,774,775  -36,113,795,225   -5.6%  -12.2%  Total Social Security benefits
70           1.0  e02400   51,453,659,000   36,368,914,611  -15,084,744,389  -29.3%  -63.6%  Total Social Security benefits
2            2.0  e02400   37,114,006,000   18,869,767,254  -18,244,238,746  -49.2%  -70.0%  Total Social Security benefits
104          3.0  e02400   41,753,457,000   31,549,412,272  -10,204,044,728  -24.4%  -35.4%  Total Social Security benefits
274          4.0  e02400   35,555,521,000   30,434,390,027   -5,121,130,973  -14.4%  -21.9%  Total Social Security benefits
240          5.0  e02400   33,489,639,000   33,685,897,173      196,258,173    0.6%  -16.7%  Total Social Security benefits
478          6.0  e02400   27,215,744,000   28,474,547,409    1,258,803,409    4.6%   23.3%  Total Social Security benefits
512          7.0  e02400   46,193,861,000   51,524,042,572    5,330,181,572   11.5%   12.1%  Total Social Security benefits
580          8.0  e02400   38,155,680,000   41,095,339,877    2,939,659,877    7.7%   19.9%  Total Social Security benefits
410          9.0  e02400   93,596,920,000   96,437,732,342    2,840,812,342    3.0%    1.4%  Total Social Security benefits
444         10.0  e02400   77,224,418,000   77,199,938,377      -24,479,623   -0.0%    3.4%  Total Social Security benefits
308         11.0  e02400  117,674,183,000  117,676,882,274        2,699,274    0.0%   -7.1%  Total Social Security benefits
36          12.0  e02400   36,219,795,000   36,217,823,529       -1,971,471   -0.0%  -19.9%  Total Social Security benefits
376         13.0  e02400    6,075,048,000    6,074,923,529         -124,471   -0.0%   -0.4%  Total Social Security benefits
172         14.0  e02400    1,390,704,000    1,390,112,941         -591,059   -0.0%   -2.9%  Total Social Security benefits
206         15.0  e02400      588,018,000      587,878,824         -139,176   -0.0%   18.9%  Total Social Security benefits
342         16.0  e02400      902,381,000      901,689,412         -691,588   -0.1%   11.5%  Total Social Security benefits
138         17.0  e02400      230,913,000      230,900,000          -13,000   -0.0%   19.7%  Total Social Security benefits
614         18.0  e02400      155,623,000      155,582,353          -40,647   -0.0%   -7.7%  Total Social Security benefits

     common_stub      pufvar      target         puf        diff   pdiff  ipdiff                                     column_description
547          0.0  e02400_nnz  28,967,603  26,179,708  -2,787,895   -9.6%  -11.0%  Number of returns with total Social Security benefits
71           1.0  e02400_nnz   2,764,827   1,696,716  -1,068,111  -38.6%  -63.1%  Number of returns with total Social Security benefits
3            2.0  e02400_nnz   2,000,972   1,062,334    -938,638  -46.9%  -65.5%  Number of returns with total Social Security benefits
105          3.0  e02400_nnz   2,201,549   1,727,537    -474,012  -21.5%  -26.7%  Number of returns with total Social Security benefits
275          4.0  e02400_nnz   1,836,800   1,628,587    -208,213  -11.3%  -10.7%  Number of returns with total Social Security benefits
241          5.0  e02400_nnz   1,637,535   1,566,051     -71,484   -4.4%  -12.2%  Number of returns with total Social Security benefits
479          6.0  e02400_nnz   1,297,421   1,274,681     -22,740   -1.8%   21.4%  Number of returns with total Social Security benefits
513          7.0  e02400_nnz   2,202,026   2,200,696      -1,330   -0.1%   10.6%  Number of returns with total Social Security benefits
581          8.0  e02400_nnz   1,838,614   1,837,609      -1,005   -0.1%   17.7%  Number of returns with total Social Security benefits
411          9.0  e02400_nnz   4,323,996   4,322,960      -1,036   -0.0%    4.1%  Number of returns with total Social Security benefits
445         10.0  e02400_nnz   3,214,006   3,213,007        -999   -0.0%    2.3%  Number of returns with total Social Security benefits
309         11.0  e02400_nnz   4,234,271   4,234,224         -47   -0.0%   -3.7%  Number of returns with total Social Security benefits
37          12.0  e02400_nnz   1,146,717   1,146,531        -186   -0.0%   -9.6%  Number of returns with total Social Security benefits
377         13.0  e02400_nnz     177,394     177,386          -8   -0.0%   10.0%  Number of returns with total Social Security benefits
173         14.0  e02400_nnz      39,871      39,827         -44   -0.1%   10.0%  Number of returns with total Social Security benefits
207         15.0  e02400_nnz      16,567      16,559          -8   -0.0%   30.9%  Number of returns with total Social Security benefits
343         16.0  e02400_nnz      24,884      24,853         -31   -0.1%   26.7%  Number of returns with total Social Security benefits
139         17.0  e02400_nnz       6,197       6,196          -1   -0.0%   35.9%  Number of returns with total Social Security benefits
615         18.0  e02400_nnz       3,957       3,954          -3   -0.1%    1.1%  Number of returns with total Social Security benefits

     common_stub  pufvar           target              puf diff  pdiff  ipdiff                column_description
560          0.0  c02500  309,539,629,000  309,539,629,998  998   0.0%   -1.4%  Taxable Social Security benefits
84           1.0  c02500      110,488,000      110,488,000    0   0.0%  -71.9%  Taxable Social Security benefits
16           2.0  c02500      243,551,000      243,550,998   -2  -0.0%  -96.6%  Taxable Social Security benefits
118          3.0  c02500      323,074,000      323,074,000    0   0.0%  -50.4%  Taxable Social Security benefits
288          4.0  c02500    1,049,423,000    1,049,423,000   -0  -0.0%  -26.8%  Taxable Social Security benefits
254          5.0  c02500    3,116,870,000    3,116,870,000    0   0.0%  -15.8%  Taxable Social Security benefits
492          6.0  c02500    4,545,548,000    4,545,548,000   -0  -0.0%   14.5%  Taxable Social Security benefits
526          7.0  c02500   13,407,599,000   13,407,599,000    0   0.0%    7.8%  Taxable Social Security benefits
594          8.0  c02500   18,230,010,000   18,230,010,000    0   0.0%   18.3%  Taxable Social Security benefits
424          9.0  c02500   65,701,381,000   65,701,381,000    0   0.0%    3.3%  Taxable Social Security benefits
458         10.0  c02500   64,116,496,000   64,116,496,000   -0  -0.0%    4.1%  Taxable Social Security benefits
322         11.0  c02500   99,970,116,000   99,970,116,000   -0  -0.0%   -7.1%  Taxable Social Security benefits
50          12.0  c02500   30,785,150,000   30,785,150,000   -0  -0.0%  -19.9%  Taxable Social Security benefits
390         13.0  c02500    5,163,685,000    5,163,685,000    0   0.0%   -0.4%  Taxable Social Security benefits
186         14.0  c02500    1,181,596,000    1,181,596,000   -0  -0.0%   -2.9%  Taxable Social Security benefits
220         15.0  c02500      499,697,000      499,697,000   -0  -0.0%   18.9%  Taxable Social Security benefits
356         16.0  c02500      766,436,000      766,436,000   -0  -0.0%   11.6%  Taxable Social Security benefits
152         17.0  c02500      196,265,000      196,265,000    0   0.0%   19.8%  Taxable Social Security benefits
628         18.0  c02500      132,245,000      132,245,000    0   0.0%   -7.7%  Taxable Social Security benefits

     common_stub      pufvar      target         puf   diff  pdiff  ipdiff                                       column_description
550          0.0  c02500_nnz  20,929,431  20,939,004  9,573   0.0%    2.4%  Number of returns with taxable Social Security benefits
74           1.0  c02500_nnz      25,697      25,697     -0  -0.0%  -79.8%  Number of returns with taxable Social Security benefits
6            2.0  c02500_nnz      44,872      54,444  9,572  21.3%  -85.3%  Number of returns with taxable Social Security benefits
108          3.0  c02500_nnz     185,390     185,390     -0  -0.0%  -27.1%  Number of returns with taxable Social Security benefits
278          4.0  c02500_nnz     860,783     860,783      0   0.0%  -18.2%  Number of returns with taxable Social Security benefits
244          5.0  c02500_nnz   1,345,904   1,345,904     -0  -0.0%   -8.0%  Number of returns with taxable Social Security benefits
482          6.0  c02500_nnz   1,243,664   1,243,664      0   0.0%   23.2%  Number of returns with taxable Social Security benefits
516          7.0  c02500_nnz   2,200,016   2,200,016      0   0.0%   10.7%  Number of returns with taxable Social Security benefits
584          8.0  c02500_nnz   1,837,609   1,837,609     -0  -0.0%   17.8%  Number of returns with taxable Social Security benefits
414          9.0  c02500_nnz   4,322,960   4,322,960     -0  -0.0%    4.1%  Number of returns with taxable Social Security benefits
448         10.0  c02500_nnz   3,213,007   3,213,007      0   0.0%    2.3%  Number of returns with taxable Social Security benefits
312         11.0  c02500_nnz   4,234,224   4,234,224      0   0.0%   -3.7%  Number of returns with taxable Social Security benefits
40          12.0  c02500_nnz   1,146,531   1,146,531     -0  -0.0%   -9.6%  Number of returns with taxable Social Security benefits
380         13.0  c02500_nnz     177,386     177,386     -0  -0.0%   10.0%  Number of returns with taxable Social Security benefits
176         14.0  c02500_nnz      39,827      39,827      0   0.0%   10.2%  Number of returns with taxable Social Security benefits
210         15.0  c02500_nnz      16,559      16,559     -0  -0.0%   30.9%  Number of returns with taxable Social Security benefits
346         16.0  c02500_nnz      24,853      24,853     -0  -0.0%   26.9%  Number of returns with taxable Social Security benefits
142         17.0  c02500_nnz       6,196       6,196      0   0.0%   35.9%  Number of returns with taxable Social Security benefits
618         18.0  c02500_nnz       3,954       3,954     -0  -0.0%    1.2%  Number of returns with taxable Social Security benefits

     common_stub     pufvar           target              puf   diff  pdiff  ipdiff                       column_description
566          0.0  e26270pos  833,430,151,000  833,430,152,000  1,000   0.0%  -18.2%  Partnership or S corporation net income
90           1.0  e26270pos    6,965,822,000    6,965,822,000     -0  -0.0%  -43.7%  Partnership or S corporation net income
22           2.0  e26270pos      686,865,000      686,865,000      0   0.0%  -39.0%  Partnership or S corporation net income
124          3.0  e26270pos    1,042,515,000    1,042,515,000      0   0.0%   11.6%  Partnership or S corporation net income
294          4.0  e26270pos    1,064,545,000    1,064,545,000     -0  -0.0%   26.8%  Partnership or S corporation net income
260          5.0  e26270pos    1,716,869,000    1,716,869,000      0   0.0%  -28.5%  Partnership or S corporation net income
498          6.0  e26270pos    1,576,551,000    1,576,551,000     -0  -0.0%   15.6%  Partnership or S corporation net income
532          7.0  e26270pos    4,795,472,000    4,795,472,000     -0  -0.0%  -30.0%  Partnership or S corporation net income
600          8.0  e26270pos    4,885,683,000    4,885,683,000     -0  -0.0%   -6.7%  Partnership or S corporation net income
430          9.0  e26270pos   14,200,026,000   14,200,026,000     -0  -0.0%    0.4%  Partnership or S corporation net income
464         10.0  e26270pos   18,152,097,000   18,152,097,000     -0  -0.0%  -20.0%  Partnership or S corporation net income
328         11.0  e26270pos   71,515,726,000   71,515,726,000     -0  -0.0%   -5.9%  Partnership or S corporation net income
56          12.0  e26270pos  150,290,571,000  150,290,571,000     -0  -0.0%   -9.6%  Partnership or S corporation net income
396         13.0  e26270pos  132,021,848,000  132,021,848,000      0   0.0%  -17.0%  Partnership or S corporation net income
192         14.0  e26270pos   71,201,820,000   71,201,820,000     -0  -0.0%  -13.1%  Partnership or S corporation net income
226         15.0  e26270pos   43,763,972,000   43,763,972,000     -0  -0.0%  -15.0%  Partnership or S corporation net income
362         16.0  e26270pos  111,793,721,000  111,793,721,000      0   0.0%  -12.6%  Partnership or S corporation net income
158         17.0  e26270pos   56,536,444,000   56,536,444,000      0   0.0%   -8.4%  Partnership or S corporation net income
634         18.0  e26270pos  141,219,605,000  141,219,605,000     -0  -0.0%  -47.4%  Partnership or S corporation net income

     common_stub         pufvar     target        puf diff  pdiff  ipdiff                                              column_description
575          0.0  e26270pos_nnz  6,240,408  6,240,408    0   0.0%   -7.2%  Number of returns with partnership or S corporation net income
99           1.0  e26270pos_nnz    162,632    162,632    0   0.0%  -45.6%  Number of returns with partnership or S corporation net income
31           2.0  e26270pos_nnz     92,439     92,439    0   0.0%  -30.3%  Number of returns with partnership or S corporation net income
133          3.0  e26270pos_nnz    115,968    115,968    0   0.0%   13.2%  Number of returns with partnership or S corporation net income
303          4.0  e26270pos_nnz    101,344    101,344   -0  -0.0%   24.3%  Number of returns with partnership or S corporation net income
269          5.0  e26270pos_nnz    138,864    138,864    0   0.0%  -14.6%  Number of returns with partnership or S corporation net income
507          6.0  e26270pos_nnz    122,819    122,819    0   0.0%    1.5%  Number of returns with partnership or S corporation net income
541          7.0  e26270pos_nnz    279,552    279,552   -0  -0.0%  -30.8%  Number of returns with partnership or S corporation net income
609          8.0  e26270pos_nnz    261,439    261,439   -0  -0.0%   -9.1%  Number of returns with partnership or S corporation net income
439          9.0  e26270pos_nnz    623,153    623,153   -0  -0.0%    4.5%  Number of returns with partnership or S corporation net income
473         10.0  e26270pos_nnz    642,516    642,516    0   0.0%  -14.2%  Number of returns with partnership or S corporation net income
337         11.0  e26270pos_nnz  1,646,657  1,646,657    0   0.0%   -5.4%  Number of returns with partnership or S corporation net income
65          12.0  e26270pos_nnz  1,328,248  1,328,248    0   0.0%   -4.4%  Number of returns with partnership or S corporation net income
405         13.0  e26270pos_nnz    443,879    443,879    0   0.0%   -8.9%  Number of returns with partnership or S corporation net income
201         14.0  e26270pos_nnz    121,853    121,853   -0  -0.0%   -4.0%  Number of returns with partnership or S corporation net income
235         15.0  e26270pos_nnz     51,640     51,640   -0  -0.0%    1.5%  Number of returns with partnership or S corporation net income
371         16.0  e26270pos_nnz     76,700     76,700   -0  -0.0%   -1.6%  Number of returns with partnership or S corporation net income
167         17.0  e26270pos_nnz     18,695     18,695   -0  -0.0%    4.0%  Number of returns with partnership or S corporation net income
643         18.0  e26270pos_nnz     12,010     12,010   -0  -0.0%  -11.1%  Number of returns with partnership or S corporation net income

     common_stub     pufvar            target               puf    diff  pdiff  ipdiff                     column_description
563          0.0  e26270neg  -153,150,406,000  -153,150,407,000  -1,000   0.0%    7.7%  Partnership or S corporation net loss
87           1.0  e26270neg   -63,385,900,000   -63,385,900,000      -0   0.0%    0.3%  Partnership or S corporation net loss
19           2.0  e26270neg      -667,230,000      -667,230,000      -0   0.0%   15.3%  Partnership or S corporation net loss
121          3.0  e26270neg      -737,049,000      -737,049,000       0  -0.0%  -11.2%  Partnership or S corporation net loss
291          4.0  e26270neg      -532,507,000      -532,507,000       0  -0.0%   37.2%  Partnership or S corporation net loss
257          5.0  e26270neg      -710,376,000      -710,376,000      -0   0.0%   51.3%  Partnership or S corporation net loss
495          6.0  e26270neg      -805,577,000      -805,577,000       0  -0.0%  -23.8%  Partnership or S corporation net loss
529          7.0  e26270neg    -1,720,413,000    -1,720,413,000      -0   0.0%   25.4%  Partnership or S corporation net loss
597          8.0  e26270neg    -2,200,704,000    -2,200,704,000      -0   0.0%  -20.6%  Partnership or S corporation net loss
427          9.0  e26270neg    -4,611,892,000    -4,611,892,000      -0   0.0%  -11.6%  Partnership or S corporation net loss
461         10.0  e26270neg    -3,622,695,000    -3,622,695,000       0  -0.0%   58.0%  Partnership or S corporation net loss
325         11.0  e26270neg   -10,487,846,000   -10,487,846,000       0  -0.0%   40.1%  Partnership or S corporation net loss
53          12.0  e26270neg   -11,619,566,000   -11,619,566,000       0  -0.0%   21.1%  Partnership or S corporation net loss
393         13.0  e26270neg    -6,945,597,000    -6,945,597,000      -0   0.0%   40.3%  Partnership or S corporation net loss
189         14.0  e26270neg    -3,604,348,000    -3,604,348,000       0  -0.0%   38.0%  Partnership or S corporation net loss
223         15.0  e26270neg    -2,593,751,000    -2,593,751,000       0  -0.0%   23.9%  Partnership or S corporation net loss
359         16.0  e26270neg    -7,767,942,000    -7,767,942,000      -0   0.0%   23.7%  Partnership or S corporation net loss
155         17.0  e26270neg    -5,485,485,000    -5,485,485,000      -0   0.0%   78.1%  Partnership or S corporation net loss
631         18.0  e26270neg   -25,651,529,000   -25,651,529,000       0  -0.0%  -30.8%  Partnership or S corporation net loss

     common_stub         pufvar     target        puf diff  pdiff  ipdiff                                            column_description
