
Regrown reweighted puf, lsq method, compared to IRS values, run on 2020-11-15

Data are for filers only, using IRS filing requirements plus estimates of likely filing.

This report is in 3 sections:
  1. Summary report for all variables, summarized over all filers
  2. Detailed report by AGI range for each variable
  3. Table that provides details on puf variables and their mappings to irs data

1. Summary report for all variables, summarized over all filers:

    common_stub     incrange         pufvar                  irsvar                 irs                 puf             diff   pdiff  ipdiff                                                                    column_description
18             0                   All returns  e00300_nnz  nret_taxint  44,193,009  44,193,008   -1  -0.0%   21.0%  Number of returns with taxable interest
52             1                  Under $5,000  e00300_nnz  nret_taxint   2,116,158   2,116,158   -0  -0.0%  -15.4%  Number of returns with taxable interest
86             2          $5,000 under $10,000  e00300_nnz  nret_taxint   1,334,991   1,334,991    0   0.0%  -11.4%  Number of returns with taxable interest
120            3         $10,000 under $15,000  e00300_nnz  nret_taxint   1,452,616   1,452,616   -0  -0.0%   22.3%  Number of returns with taxable interest
154            4         $15,000 under $20,000  e00300_nnz  nret_taxint   1,366,790   1,366,790    0   0.0%   31.8%  Number of returns with taxable interest
188            5         $20,000 under $25,000  e00300_nnz  nret_taxint   1,433,085   1,433,085   -0  -0.0%   16.1%  Number of returns with taxable interest
222            6         $25,000 under $30,000  e00300_nnz  nret_taxint   1,326,946   1,326,946   -0  -0.0%   50.1%  Number of returns with taxable interest
256            7         $30,000 under $40,000  e00300_nnz  nret_taxint   2,719,924   2,719,924    0   0.0%   30.1%  Number of returns with taxable interest
290            8         $40,000 under $50,000  e00300_nnz  nret_taxint   2,704,026   2,704,026   -0  -0.0%   30.7%  Number of returns with taxable interest
324            9         $50,000 under $75,000  e00300_nnz  nret_taxint   6,608,661   6,608,661   -0  -0.0%   26.4%  Number of returns with taxable interest
358           10        $75,000 under $100,000  e00300_nnz  nret_taxint   5,854,757   5,854,757   -0  -0.0%   19.9%  Number of returns with taxable interest
392           11       $100,000 under $200,000  e00300_nnz  nret_taxint  11,121,958  11,121,958   -0  -0.0%   23.9%  Number of returns with taxable interest
426           12       $200,000 under $500,000  e00300_nnz  nret_taxint   4,755,311   4,755,311   -0  -0.0%   16.4%  Number of returns with taxable interest
460           13     $500,000 under $1,000,000  e00300_nnz  nret_taxint     918,148     918,148   -0  -0.0%    9.0%  Number of returns with taxable interest
494           14   $1,000,000 under $1,500,000  e00300_nnz  nret_taxint     213,278     213,278   -0  -0.0%    7.0%  Number of returns with taxable interest
528           15   $1,500,000 under $2,000,000  e00300_nnz  nret_taxint      87,836      87,836   -0  -0.0%   15.0%  Number of returns with taxable interest
562           16   $2,000,000 under $5,000,000  e00300_nnz  nret_taxint     127,158     127,158   -0  -0.0%    6.8%  Number of returns with taxable interest
596           17  $5,000,000 under $10,000,000  e00300_nnz  nret_taxint      31,277      31,277    0   0.0%   19.9%  Number of returns with taxable interest
630           18           $10,000,000 or more  e00300_nnz  nret_taxint      20,088      20,088   -0  -0.0%   -1.2%  Number of returns with taxable interest

     common_stub                      incrange  pufvar  irsvar              irs              puf diff  pdiff  ipdiff  column_description
19             0                   All returns  e00600  orddiv  282,336,042,000  282,336,042,000   -0  -0.0%    2.9%  Ordinary dividends
53             1                  Under $5,000  e00600  orddiv    6,297,087,000    6,297,087,000   -0  -0.0%  -47.8%  Ordinary dividends
87             2          $5,000 under $10,000  e00600  orddiv    1,282,506,000    1,282,506,000    0   0.0%  -22.3%  Ordinary dividends
121            3         $10,000 under $15,000  e00600  orddiv    1,834,544,000    1,834,544,000   -0  -0.0%   22.2%  Ordinary dividends
155            4         $15,000 under $20,000  e00600  orddiv    1,830,363,000    1,830,363,000   -0  -0.0%   63.3%  Ordinary dividends
189            5         $20,000 under $25,000  e00600  orddiv    1,903,404,000    1,903,404,000   -0  -0.0%   17.9%  Ordinary dividends
223            6         $25,000 under $30,000  e00600  orddiv    1,924,456,000    1,924,456,000   -0  -0.0%   35.5%  Ordinary dividends
257            7         $30,000 under $40,000  e00600  orddiv    4,106,378,000    4,106,378,000    0   0.0%   75.8%  Ordinary dividends
291            8         $40,000 under $50,000  e00600  orddiv    3,903,451,000    3,903,451,000   -0  -0.0%  102.0%  Ordinary dividends
325            9         $50,000 under $75,000  e00600  orddiv   13,168,278,000   13,168,278,000   -0  -0.0%   56.4%  Ordinary dividends
359           10        $75,000 under $100,000  e00600  orddiv   15,424,556,000   15,424,556,000    0   0.0%   28.6%  Ordinary dividends
393           11       $100,000 under $200,000  e00600  orddiv   46,748,395,000   46,748,395,000    0   0.0%    7.3%  Ordinary dividends
427           12       $200,000 under $500,000  e00600  orddiv   53,605,486,000   53,605,486,000   -0  -0.0%  -11.3%  Ordinary dividends
461           13     $500,000 under $1,000,000  e00600  orddiv   28,937,256,000   28,937,256,000   -0  -0.0%    4.6%  Ordinary dividends
495           14   $1,000,000 under $1,500,000  e00600  orddiv   13,010,147,000   13,010,147,000   -0  -0.0%    5.2%  Ordinary dividends
529           15   $1,500,000 under $2,000,000  e00600  orddiv    8,391,122,000    8,391,122,000    0   0.0%   25.4%  Ordinary dividends
563           16   $2,000,000 under $5,000,000  e00600  orddiv   22,009,340,000   22,009,340,000   -0  -0.0%   12.2%  Ordinary dividends
597           17  $5,000,000 under $10,000,000  e00600  orddiv   13,243,761,000   13,243,761,000   -0  -0.0%   28.8%  Ordinary dividends
631           18           $10,000,000 or more  e00600  orddiv   44,715,512,000   44,715,512,000    0   0.0%  -40.2%  Ordinary dividends

     common_stub                      incrange      pufvar       irsvar         irs         puf diff  pdiff  ipdiff                         column_description
20             0                   All returns  e00600_nnz  nret_orddiv  28,171,331  28,171,329   -2  -0.0%    4.4%  Number of returns with ordinary dividends
54             1                  Under $5,000  e00600_nnz  nret_orddiv   1,364,222   1,364,222   -0  -0.0%  -33.9%  Number of returns with ordinary dividends
88             2          $5,000 under $10,000  e00600_nnz  nret_orddiv     815,099     815,099    0   0.0%  -34.1%  Number of returns with ordinary dividends
122            3         $10,000 under $15,000  e00600_nnz  nret_orddiv     875,416     875,416   -0  -0.0%   -6.7%  Number of returns with ordinary dividends
156            4         $15,000 under $20,000  e00600_nnz  nret_orddiv     794,490     794,490    0   0.0%    9.8%  Number of returns with ordinary dividends
190            5         $20,000 under $25,000  e00600_nnz  nret_orddiv     775,451     775,451   -0  -0.0%   -0.8%  Number of returns with ordinary dividends
224            6         $25,000 under $30,000  e00600_nnz  nret_orddiv     744,390     744,390   -0  -0.0%   22.6%  Number of returns with ordinary dividends
258            7         $30,000 under $40,000  e00600_nnz  nret_orddiv   1,499,953   1,499,953    0   0.0%   11.7%  Number of returns with ordinary dividends
292            8         $40,000 under $50,000  e00600_nnz  nret_orddiv   1,448,472   1,448,472   -0  -0.0%   18.6%  Number of returns with ordinary dividends
326            9         $50,000 under $75,000  e00600_nnz  nret_orddiv   3,812,081   3,812,081   -0  -0.0%    9.4%  Number of returns with ordinary dividends
360           10        $75,000 under $100,000  e00600_nnz  nret_orddiv   3,510,707   3,510,707   -0  -0.0%    7.5%  Number of returns with ordinary dividends
394           11       $100,000 under $200,000  e00600_nnz  nret_orddiv   7,416,984   7,416,984   -0  -0.0%    6.4%  Number of returns with ordinary dividends
428           12       $200,000 under $500,000  e00600_nnz  nret_orddiv   3,869,169   3,869,169    0   0.0%    4.4%  Number of returns with ordinary dividends
462           13     $500,000 under $1,000,000  e00600_nnz  nret_orddiv     810,519     810,519   -0  -0.0%    4.2%  Number of returns with ordinary dividends
496           14   $1,000,000 under $1,500,000  e00600_nnz  nret_orddiv     188,882     188,882   -0  -0.0%    6.0%  Number of returns with ordinary dividends
530           15   $1,500,000 under $2,000,000  e00600_nnz  nret_orddiv      79,972      79,972    0   0.0%   15.3%  Number of returns with ordinary dividends
564           16   $2,000,000 under $5,000,000  e00600_nnz  nret_orddiv     116,753     116,753   -0  -0.0%    6.7%  Number of returns with ordinary dividends
598           17  $5,000,000 under $10,000,000  e00600_nnz  nret_orddiv      29,452      29,452   -0  -0.0%   20.5%  Number of returns with ordinary dividends
632           18           $10,000,000 or more  e00600_nnz  nret_orddiv      19,317      19,317    0   0.0%   -1.5%  Number of returns with ordinary dividends

     common_stub                      incrange     pufvar   irsvar              irs              puf   diff  pdiff  ipdiff           column_description
3              0                   All returns  c01000pos  cggross  859,894,631,000  859,894,632,000  1,000   0.0%   -0.4%  Capital gains gross taxable
37             1                  Under $5,000  c01000pos  cggross   19,771,923,000   19,771,923,000      0   0.0%  -65.9%  Capital gains gross taxable
71             2          $5,000 under $10,000  c01000pos  cggross      879,902,000      879,902,000      0   0.0%  -37.8%  Capital gains gross taxable
105            3         $10,000 under $15,000  c01000pos  cggross    1,475,473,000    1,475,473,000     -0  -0.0%  -20.4%  Capital gains gross taxable
139            4         $15,000 under $20,000  c01000pos  cggross    1,325,812,000    1,325,812,000      0   0.0%   26.9%  Capital gains gross taxable
173            5         $20,000 under $25,000  c01000pos  cggross    1,712,450,000    1,712,450,000     -0  -0.0%    3.9%  Capital gains gross taxable
207            6         $25,000 under $30,000  c01000pos  cggross    1,508,109,000    1,508,109,000     -0  -0.0%    8.4%  Capital gains gross taxable
241            7         $30,000 under $40,000  c01000pos  cggross    3,799,333,000    3,799,333,000      0   0.0%   15.1%  Capital gains gross taxable
275            8         $40,000 under $50,000  c01000pos  cggross    4,655,431,000    4,655,431,000     -0  -0.0%   83.4%  Capital gains gross taxable
309            9         $50,000 under $75,000  c01000pos  cggross   13,508,802,000   13,508,802,000     -0  -0.0%   36.8%  Capital gains gross taxable
343           10        $75,000 under $100,000  c01000pos  cggross   18,527,349,000   18,527,349,000     -0  -0.0%    5.0%  Capital gains gross taxable
377           11       $100,000 under $200,000  c01000pos  cggross   66,274,073,000   66,274,073,000     -0  -0.0%  -11.3%  Capital gains gross taxable
411           12       $200,000 under $500,000  c01000pos  cggross  109,971,765,000  109,971,765,000     -0  -0.0%   -7.0%  Capital gains gross taxable
445           13     $500,000 under $1,000,000  c01000pos  cggross   79,424,756,000   79,424,756,000     -0  -0.0%   10.2%  Capital gains gross taxable
479           14   $1,000,000 under $1,500,000  c01000pos  cggross   42,974,938,000   42,974,938,000      0   0.0%   16.1%  Capital gains gross taxable
513           15   $1,500,000 under $2,000,000  c01000pos  cggross   29,813,179,000   29,813,179,000      0   0.0%   33.8%  Capital gains gross taxable
547           16   $2,000,000 under $5,000,000  c01000pos  cggross   93,502,832,000   93,502,832,000     -0  -0.0%   27.8%  Capital gains gross taxable
581           17  $5,000,000 under $10,000,000  c01000pos  cggross   68,993,824,000   68,993,824,000     -0  -0.0%   38.5%  Capital gains gross taxable
615           18           $10,000,000 or more  c01000pos  cggross  301,774,681,000  301,774,681,000      0   0.0%  -20.9%  Capital gains gross taxable

     common_stub                      incrange         pufvar        irsvar         irs         puf diff  pdiff  ipdiff                                  column_description
4              0                   All returns  c01000pos_nnz  nret_cggross  13,698,506  13,698,504   -2  -0.0%  -10.1%  Number of returns with capital gains gross taxable
38             1                  Under $5,000  c01000pos_nnz  nret_cggross     437,630     437,630    0   0.0%  -44.0%  Number of returns with capital gains gross taxable
72             2          $5,000 under $10,000  c01000pos_nnz  nret_cggross     324,549     324,549    0   0.0%  -47.3%  Number of returns with capital gains gross taxable
106            3         $10,000 under $15,000  c01000pos_nnz  nret_cggross     347,534     347,534   -0  -0.0%  -23.9%  Number of returns with capital gains gross taxable
140            4         $15,000 under $20,000  c01000pos_nnz  nret_cggross     305,884     305,884   -0  -0.0%   -4.9%  Number of returns with capital gains gross taxable
174            5         $20,000 under $25,000  c01000pos_nnz  nret_cggross     324,651     324,651    0   0.0%  -14.1%  Number of returns with capital gains gross taxable
208            6         $25,000 under $30,000  c01000pos_nnz  nret_cggross     313,023     313,023    0   0.0%  -18.0%  Number of returns with capital gains gross taxable
242            7         $30,000 under $40,000  c01000pos_nnz  nret_cggross     610,424     610,424   -0  -0.0%   -9.0%  Number of returns with capital gains gross taxable
276            8         $40,000 under $50,000  c01000pos_nnz  nret_cggross     637,343     637,343    0   0.0%    7.1%  Number of returns with capital gains gross taxable
310            9         $50,000 under $75,000  c01000pos_nnz  nret_cggross   1,693,384   1,693,384   -0  -0.0%   -2.8%  Number of returns with capital gains gross taxable
344           10        $75,000 under $100,000  c01000pos_nnz  nret_cggross   1,673,930   1,673,930   -0  -0.0%   -9.7%  Number of returns with capital gains gross taxable
378           11       $100,000 under $200,000  c01000pos_nnz  nret_cggross   3,748,985   3,748,985    0   0.0%  -12.6%  Number of returns with capital gains gross taxable
412           12       $200,000 under $500,000  c01000pos_nnz  nret_cggross   2,366,587   2,366,587    0   0.0%   -7.1%  Number of returns with capital gains gross taxable
446           13     $500,000 under $1,000,000  c01000pos_nnz  nret_cggross     575,245     575,245   -0  -0.0%   -1.7%  Number of returns with capital gains gross taxable
480           14   $1,000,000 under $1,500,000  c01000pos_nnz  nret_cggross     142,145     142,145   -0  -0.0%    5.4%  Number of returns with capital gains gross taxable
514           15   $1,500,000 under $2,000,000  c01000pos_nnz  nret_cggross      61,878      61,878   -0  -0.0%   19.1%  Number of returns with capital gains gross taxable
548           16   $2,000,000 under $5,000,000  c01000pos_nnz  nret_cggross      93,801      93,801    0   0.0%   10.0%  Number of returns with capital gains gross taxable
582           17  $5,000,000 under $10,000,000  c01000pos_nnz  nret_cggross      24,609      24,609    0   0.0%   25.7%  Number of returns with capital gains gross taxable
616           18           $10,000,000 or more  c01000pos_nnz  nret_cggross      16,902      16,902   -0  -0.0%    2.0%  Number of returns with capital gains gross taxable

     common_stub                      incrange     pufvar  irsvar              irs              puf           diff   pdiff  ipdiff    column_description
1              0                   All returns  c01000neg  cgloss  -16,779,101,000  -11,447,139,440  5,331,961,560  -31.8%  -21.8%  Capital loss taxable
35             1                  Under $5,000  c01000neg  cgloss   -1,641,623,000   -1,380,896,273    260,726,727  -15.9%  -44.7%  Capital loss taxable
69             2          $5,000 under $10,000  c01000neg  cgloss     -547,009,000     -588,889,947    -41,880,947    7.7%  -28.0%  Capital loss taxable
103            3         $10,000 under $15,000  c01000neg  cgloss     -516,537,000     -348,742,292    167,794,708  -32.5%  -30.9%  Capital loss taxable
137            4         $15,000 under $20,000  c01000neg  cgloss     -441,066,000     -253,818,492    187,247,508  -42.5%  -32.1%  Capital loss taxable
171            5         $20,000 under $25,000  c01000neg  cgloss     -415,082,000     -284,224,963    130,857,037  -31.5%  -26.5%  Capital loss taxable
205            6         $25,000 under $30,000  c01000neg  cgloss     -437,005,000     -226,599,401    210,405,599  -48.1%  -23.7%  Capital loss taxable
239            7         $30,000 under $40,000  c01000neg  cgloss     -821,100,000     -404,166,085    416,933,915  -50.8%  -30.7%  Capital loss taxable
273            8         $40,000 under $50,000  c01000neg  cgloss     -702,183,000     -456,742,310    245,440,690  -35.0%   -2.4%  Capital loss taxable
307            9         $50,000 under $75,000  c01000neg  cgloss   -2,039,924,000   -1,148,843,017    891,080,983  -43.7%  -25.5%  Capital loss taxable
341           10        $75,000 under $100,000  c01000neg  cgloss   -1,940,970,000   -1,123,488,815    817,481,185  -42.1%  -25.5%  Capital loss taxable
375           11       $100,000 under $200,000  c01000neg  cgloss   -4,040,570,000   -2,814,851,800  1,225,718,200  -30.3%  -14.0%  Capital loss taxable
409           12       $200,000 under $500,000  c01000neg  cgloss   -2,397,176,000   -1,756,316,204    640,859,796  -26.7%  -13.5%  Capital loss taxable
443           13     $500,000 under $1,000,000  c01000neg  cgloss     -551,502,000     -418,569,197    132,932,803  -24.1%   -9.2%  Capital loss taxable
477           14   $1,000,000 under $1,500,000  c01000neg  cgloss     -134,937,000     -107,857,404     27,079,596  -20.1%  -12.3%  Capital loss taxable
511           15   $1,500,000 under $2,000,000  c01000neg  cgloss      -54,399,000      -45,914,844      8,484,156  -15.6%  -10.7%  Capital loss taxable
545           16   $2,000,000 under $5,000,000  c01000neg  cgloss      -73,683,000      -64,608,108      9,074,892  -12.3%  -16.6%  Capital loss taxable
579           17  $5,000,000 under $10,000,000  c01000neg  cgloss      -16,068,000      -14,747,951      1,320,049   -8.2%   -7.9%  Capital loss taxable
613           18           $10,000,000 or more  c01000neg  cgloss       -8,267,000       -7,862,335        404,665   -4.9%  -22.8%  Capital loss taxable

     common_stub                      incrange         pufvar       irsvar        irs        puf        diff   pdiff  ipdiff                           column_description
2              0                   All returns  c01000neg_nnz  nret_cgloss  7,471,221  5,607,538  -1,863,683  -24.9%  -15.1%  Number of returns with capital loss taxable
36             1                  Under $5,000  c01000neg_nnz  nret_cgloss    709,045    584,363    -124,682  -17.6%  -43.7%  Number of returns with capital loss taxable
70             2          $5,000 under $10,000  c01000neg_nnz  nret_cgloss    264,552    236,874     -27,678  -10.5%  -36.8%  Number of returns with capital loss taxable
104            3         $10,000 under $15,000  c01000neg_nnz  nret_cgloss    234,246    163,367     -70,879  -30.3%  -27.6%  Number of returns with capital loss taxable
138            4         $15,000 under $20,000  c01000neg_nnz  nret_cgloss    204,769    149,878     -54,891  -26.8%  -19.7%  Number of returns with capital loss taxable
172            5         $20,000 under $25,000  c01000neg_nnz  nret_cgloss    190,269    155,526     -34,743  -18.3%  -13.0%  Number of returns with capital loss taxable
206            6         $25,000 under $30,000  c01000neg_nnz  nret_cgloss    205,169    111,576     -93,593  -45.6%  -21.2%  Number of returns with capital loss taxable
240            7         $30,000 under $40,000  c01000neg_nnz  nret_cgloss    380,801    251,932    -128,869  -33.8%  -18.0%  Number of returns with capital loss taxable
274            8         $40,000 under $50,000  c01000neg_nnz  nret_cgloss    328,643    232,633     -96,010  -29.2%   -0.2%  Number of returns with capital loss taxable
308            9         $50,000 under $75,000  c01000neg_nnz  nret_cgloss    922,328    631,397    -290,931  -31.5%  -14.3%  Number of returns with capital loss taxable
342           10        $75,000 under $100,000  c01000neg_nnz  nret_cgloss    879,878    608,725    -271,153  -30.8%  -16.4%  Number of returns with capital loss taxable
376           11       $100,000 under $200,000  c01000neg_nnz  nret_cgloss  1,802,059  1,413,719    -388,340  -21.5%   -6.0%  Number of returns with capital loss taxable
410           12       $200,000 under $500,000  c01000neg_nnz  nret_cgloss  1,032,204    803,996    -228,208  -22.1%   -7.4%  Number of returns with capital loss taxable
444           13     $500,000 under $1,000,000  c01000neg_nnz  nret_cgloss    213,262    173,515     -39,747  -18.6%   -2.6%  Number of returns with capital loss taxable
478           14   $1,000,000 under $1,500,000  c01000neg_nnz  nret_cgloss     49,190     41,443      -7,747  -15.7%   -7.5%  Number of returns with capital loss taxable
512           15   $1,500,000 under $2,000,000  c01000neg_nnz  nret_cgloss     19,722     17,094      -2,628  -13.3%   -9.0%  Number of returns with capital loss taxable
546           16   $2,000,000 under $5,000,000  c01000neg_nnz  nret_cgloss     26,547     23,470      -3,077  -11.6%  -15.7%  Number of returns with capital loss taxable
580           17  $5,000,000 under $10,000,000  c01000neg_nnz  nret_cgloss      5,645      5,265        -380   -6.7%   -6.6%  Number of returns with capital loss taxable
614           18           $10,000,000 or more  c01000neg_nnz  nret_cgloss      2,893      2,765        -128   -4.4%  -23.3%  Number of returns with capital loss taxable

     common_stub                      incrange  pufvar    irsvar                irs                puf    diff  pdiff  ipdiff                                   column_description
21             0                   All returns  e01500  pensions  1,171,791,907,000  1,171,791,906,000  -1,000  -0.0%   -0.9%  Total pensions and annuities (including nontaxable)
55             1                  Under $5,000  e01500  pensions     13,204,540,000     13,204,540,000       0   0.0%  -36.2%  Total pensions and annuities (including nontaxable)
89             2          $5,000 under $10,000  e01500  pensions     10,211,529,000     10,211,529,000       0   0.0%  -66.4%  Total pensions and annuities (including nontaxable)
123            3         $10,000 under $15,000  e01500  pensions     18,171,930,000     18,171,930,000      -0  -0.0%   -7.3%  Total pensions and annuities (including nontaxable)
157            4         $15,000 under $20,000  e01500  pensions     20,721,157,000     20,721,157,000      -0  -0.0%    3.2%  Total pensions and annuities (including nontaxable)
191            5         $20,000 under $25,000  e01500  pensions     23,912,287,000     23,912,287,000      -0  -0.0%   -5.7%  Total pensions and annuities (including nontaxable)
225            6         $25,000 under $30,000  e01500  pensions     23,998,290,000     23,998,290,000      -0  -0.0%   26.0%  Total pensions and annuities (including nontaxable)
259            7         $30,000 under $40,000  e01500  pensions     48,794,181,000     48,794,181,000       0   0.0%   12.4%  Total pensions and annuities (including nontaxable)
293            8         $40,000 under $50,000  e01500  pensions     51,533,778,000     51,533,778,000      -0  -0.0%   20.8%  Total pensions and annuities (including nontaxable)
327            9         $50,000 under $75,000  e01500  pensions    158,863,197,000    158,863,197,000      -0  -0.0%    7.6%  Total pensions and annuities (including nontaxable)
361           10        $75,000 under $100,000  e01500  pensions    166,773,240,000    166,773,240,000      -0  -0.0%    0.9%  Total pensions and annuities (including nontaxable)
395           11       $100,000 under $200,000  e01500  pensions    372,883,554,000    372,883,554,000       0   0.0%   -4.3%  Total pensions and annuities (including nontaxable)
429           12       $200,000 under $500,000  e01500  pensions    195,414,646,000    195,414,646,000       0   0.0%  -10.8%  Total pensions and annuities (including nontaxable)
463           13     $500,000 under $1,000,000  e01500  pensions     41,237,548,000     41,237,548,000       0   0.0%   -0.6%  Total pensions and annuities (including nontaxable)
497           14   $1,000,000 under $1,500,000  e01500  pensions     10,150,853,000     10,150,853,000       0   0.0%   10.5%  Total pensions and annuities (including nontaxable)
531           15   $1,500,000 under $2,000,000  e01500  pensions      4,472,303,000      4,472,303,000      -0  -0.0%   24.6%  Total pensions and annuities (including nontaxable)
565           16   $2,000,000 under $5,000,000  e01500  pensions      7,144,885,000      7,144,885,000      -0  -0.0%   19.4%  Total pensions and annuities (including nontaxable)
599           17  $5,000,000 under $10,000,000  e01500  pensions      2,160,456,000      2,160,456,000      -0  -0.0%   22.9%  Total pensions and annuities (including nontaxable)
633           18           $10,000,000 or more  e01500  pensions      2,143,532,000      2,143,532,000      -0  -0.0%   -9.8%  Total pensions and annuities (including nontaxable)

     common_stub                      incrange      pufvar         irsvar         irs         puf diff  pdiff  ipdiff                                                          column_description
22             0                   All returns  e01500_nnz  nret_pensions  30,610,779  30,610,779   -0  -0.0%   -2.8%  Number of returns with total pensions and annuities (including nontaxable)
56             1                  Under $5,000  e01500_nnz  nret_pensions   1,004,073   1,004,073   -0  -0.0%  -59.5%  Number of returns with total pensions and annuities (including nontaxable)
90             2          $5,000 under $10,000  e01500_nnz  nret_pensions   1,208,473   1,208,473   -0  -0.0%  -69.2%  Number of returns with total pensions and annuities (including nontaxable)
124            3         $10,000 under $15,000  e01500_nnz  nret_pensions   1,573,498   1,573,498   -0  -0.0%  -18.6%  Number of returns with total pensions and annuities (including nontaxable)
158            4         $15,000 under $20,000  e01500_nnz  nret_pensions   1,545,385   1,545,385   -0  -0.0%   -5.8%  Number of returns with total pensions and annuities (including nontaxable)
192            5         $20,000 under $25,000  e01500_nnz  nret_pensions   1,507,057   1,507,057   -0  -0.0%   -9.6%  Number of returns with total pensions and annuities (including nontaxable)
226            6         $25,000 under $30,000  e01500_nnz  nret_pensions   1,360,383   1,360,383   -0  -0.0%   22.4%  Number of returns with total pensions and annuities (including nontaxable)
260            7         $30,000 under $40,000  e01500_nnz  nret_pensions   2,496,150   2,496,150    0   0.0%    4.1%  Number of returns with total pensions and annuities (including nontaxable)
294            8         $40,000 under $50,000  e01500_nnz  nret_pensions   2,203,783   2,203,783   -0  -0.0%   11.5%  Number of returns with total pensions and annuities (including nontaxable)
328            9         $50,000 under $75,000  e01500_nnz  nret_pensions   5,129,174   5,129,174   -0  -0.0%    5.4%  Number of returns with total pensions and annuities (including nontaxable)
362           10        $75,000 under $100,000  e01500_nnz  nret_pensions   4,060,177   4,060,177    0   0.0%    0.3%  Number of returns with total pensions and annuities (including nontaxable)
396           11       $100,000 under $200,000  e01500_nnz  nret_pensions   6,326,557   6,326,557   -0  -0.0%    2.1%  Number of returns with total pensions and annuities (including nontaxable)
430           12       $200,000 under $500,000  e01500_nnz  nret_pensions   1,838,752   1,838,752   -0  -0.0%   -0.0%  Number of returns with total pensions and annuities (including nontaxable)
464           13     $500,000 under $1,000,000  e01500_nnz  nret_pensions     240,808     240,808   -0  -0.0%    7.0%  Number of returns with total pensions and annuities (including nontaxable)
498           14   $1,000,000 under $1,500,000  e01500_nnz  nret_pensions      52,066      52,066    0   0.0%   13.1%  Number of returns with total pensions and annuities (including nontaxable)
532           15   $1,500,000 under $2,000,000  e01500_nnz  nret_pensions      21,292      21,292    0   0.0%   23.9%  Number of returns with total pensions and annuities (including nontaxable)
566           16   $2,000,000 under $5,000,000  e01500_nnz  nret_pensions      30,807      30,807   -0  -0.0%   15.2%  Number of returns with total pensions and annuities (including nontaxable)
600           17  $5,000,000 under $10,000,000  e01500_nnz  nret_pensions       7,500       7,500    0   0.0%   28.5%  Number of returns with total pensions and annuities (including nontaxable)
634           18           $10,000,000 or more  e01500_nnz  nret_pensions       4,844       4,844    0   0.0%    2.1%  Number of returns with total pensions and annuities (including nontaxable)

     common_stub                      incrange  pufvar     irsvar              irs              puf             diff   pdiff  ipdiff              column_description
23             0                   All returns  e02400  socsectot  644,989,570,000  607,407,067,130  -37,582,502,870   -5.8%  -12.2%  Total Social Security benefits
57             1                  Under $5,000  e02400  socsectot   51,453,659,000   35,092,940,158  -16,360,718,842  -31.8%  -63.6%  Total Social Security benefits
91             2          $5,000 under $10,000  e02400  socsectot   37,114,006,000   18,811,097,799  -18,302,908,201  -49.3%  -70.0%  Total Social Security benefits
125            3         $10,000 under $15,000  e02400  socsectot   41,753,457,000   31,563,364,272  -10,190,092,728  -24.4%  -35.4%  Total Social Security benefits
159            4         $15,000 under $20,000  e02400  socsectot   35,555,521,000   30,314,804,357   -5,240,716,643  -14.7%  -21.9%  Total Social Security benefits
193            5         $20,000 under $25,000  e02400  socsectot   33,489,639,000   33,519,884,180       30,245,180    0.1%  -16.7%  Total Social Security benefits
227            6         $25,000 under $30,000  e02400  socsectot   27,215,744,000   28,650,948,886    1,435,204,886    5.3%   23.3%  Total Social Security benefits
261            7         $30,000 under $40,000  e02400  socsectot   46,193,861,000   51,532,284,538    5,338,423,538   11.6%   12.1%  Total Social Security benefits
295            8         $40,000 under $50,000  e02400  socsectot   38,155,680,000   41,199,380,179    3,043,700,179    8.0%   19.9%  Total Social Security benefits
329            9         $50,000 under $75,000  e02400  socsectot   93,596,920,000   96,269,400,221    2,672,480,221    2.9%    1.4%  Total Social Security benefits
363           10        $75,000 under $100,000  e02400  socsectot   77,224,418,000   77,215,054,213       -9,363,787   -0.0%    3.4%  Total Social Security benefits
397           11       $100,000 under $200,000  e02400  socsectot  117,674,183,000  117,678,997,740        4,814,740    0.0%   -7.1%  Total Social Security benefits
431           12       $200,000 under $500,000  e02400  socsectot   36,219,795,000   36,217,823,529       -1,971,471   -0.0%  -19.9%  Total Social Security benefits
465           13     $500,000 under $1,000,000  e02400  socsectot    6,075,048,000    6,074,923,529         -124,471   -0.0%   -0.4%  Total Social Security benefits
499           14   $1,000,000 under $1,500,000  e02400  socsectot    1,390,704,000    1,390,112,941         -591,059   -0.0%   -2.9%  Total Social Security benefits
533           15   $1,500,000 under $2,000,000  e02400  socsectot      588,018,000      587,878,824         -139,176   -0.0%   18.9%  Total Social Security benefits
567           16   $2,000,000 under $5,000,000  e02400  socsectot      902,381,000      901,689,412         -691,588   -0.1%   11.5%  Total Social Security benefits
601           17  $5,000,000 under $10,000,000  e02400  socsectot      230,913,000      230,900,000          -13,000   -0.0%   19.7%  Total Social Security benefits
635           18           $10,000,000 or more  e02400  socsectot      155,623,000      155,582,353          -40,647   -0.0%   -7.7%  Total Social Security benefits

     common_stub                      incrange      pufvar          irsvar         irs         puf        diff   pdiff  ipdiff                                     column_description
24             0                   All returns  e02400_nnz  nret_socsectot  28,967,603  26,106,458  -2,861,145   -9.9%  -11.0%  Number of returns with total Social Security benefits
